seed,decisions,mean_decision_interval_h,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000041,208,3.4615384615384617,-2.5058030439124197,125444.62651394652,102632.29168467814,8292.96963077374,0.8181481705258042,670035.9600000064,929694.0014834248,42079.23959071806,3629.016546711194,3376.065000000005,1648814.28262086,663437.5704618992,0.0,193551.1908296618,1842365.473450522,2312251.8530827593,2505803.043912421,24.41534728281342,0,1.5687767900526524
9000042,185,3.891891891891892,-1.8388369071498167,122590.33961068436,112742.43081593922,0.0,0.9196681498230646,659657.4600000057,964567.4231330879,46224.39663453513,3765.1432980994286,3434.062500000005,1677648.4855657283,0.0,0.0,161188.42158408873,1838836.907149817,1677648.4855657283,1838836.907149817,16.310069721237973,0,1.4607174769043922
9000043,148,4.864864864864865,-2.3117079343901086,122999.51700733569,95106.59314025177,6060.268834641471,0.7732273707593471,667545.1200000067,857155.3605874171,38993.70318750323,3345.8653941088173,2918.1900000000037,1569958.2391690358,484821.50677131786,0.0,256928.188449756,1826886.4276187918,2054779.7459403537,2311707.93439011,24.306495039529814,0,0.928070595022291
9000044,194,3.711340206185567,-2.2581420318524756,129859.10158151455,112511.12497392141,5083.213456921216,0.8664092358847597,658827.1800000054,972876.364899222,46129.56123930787,3797.5768591494607,3556.1625000000054,1685186.845497685,406657.0765536971,0.0,166298.10980109285,1851484.955298778,2091843.9220513823,2258142.031852475,20.07038888266278,0,0.7579816798679531
9000045,173,4.161849710982659,-2.201495423819272,125440.6630420947,112416.20454941283,4145.5965748723465,0.8961703631276948,670035.960000008,949073.2784332129,46090.64386525924,3704.6626373623867,3434.0625000000045,1672338.6074358425,331647.7259897878,0.0,197509.09039364196,1869847.6978294845,2003986.3334256303,2201495.4238192723,19.583434902853348,0,1.4285815078765154
9000046,193,3.7305699481865284,-2.691280232845009,132406.07380064274,102819.78428385982,10810.064809192048,0.7765488495540656,607764.9600000062,938400.0,42156.11155638254,3663.0000000000027,3049.4475000000043,1595033.5190563889,864805.1847353636,0.0,231441.52905325594,1826475.0481096448,2459838.7037917525,2691280.2328450084,26.174731367020318,0,1.0641072229482234
9000047,171,4.2105263157894735,-2.1931868874341935,128277.74695956499,111762.61434231022,2968.1988707388205,0.8712548901996183,689132.4000000079,938399.9999999999,45822.671880347174,3663.000000000005,3434.062500000006,1680452.134380355,237455.9096591057,0.0,275278.8433947327,1955730.9777750876,1917908.0440394608,2193186.8874341934,19.623618330158493,0,1.8202470759861171
9000048,191,3.769633507853403,-1.985516046863597,131010.22127700872,115548.67001501992,0.0,0.8819820994783544,678338.7600000079,991952.8188454924,47374.95470615812,3872.04089453436,3663.000000000005,1725201.574446193,0.0,0.0,260314.47241740444,1985516.0468635974,1725201.574446193,1985516.0468635974,17.183374301110558,0,1.577952593099326
9000049,230,3.130434782608696,-1.8508945292869203,124881.76991963951,109286.39507358239,0.0,0.8751188835961196,670451.1000000068,936053.9999999998,44807.42198016876,3653.842500000003,3205.125000000004,1658171.4894801753,0.0,0.0,192723.03980674417,1850894.5292869194,1658171.4894801753,1850894.5292869194,16.936184307668988,0,1.6144952881149948
9000050,193,3.7305699481865284,-1.9689054907119758,132171.66508378548,121675.80980074077,0.0,0.920589217996223,675432.7800000082,1002464.0452357568,49887.082018303765,3913.0709694145153,3891.9375000000055,1735588.915723483,0.0,0.0,233316.57498849268,1968905.4907119758,1735588.915723483,1968905.4907119758,16.181568825687727,0,1.9275169717147946
