seed,t300_total_cost,t600_total_cost,t1200_total_cost,t600_minus_t300_total_cost,t1200_minus_t600_total_cost,t300_operating_cost,t600_operating_cost,t1200_operating_cost,t600_minus_t300_operating_cost,t1200_minus_t600_operating_cost,t300_terminal_cleanup_operating_cost,t600_terminal_cleanup_operating_cost,t1200_terminal_cleanup_operating_cost,t600_minus_t300_terminal_cleanup_operating_cost,t1200_minus_t600_terminal_cleanup_operating_cost,t300_stored_t,t600_stored_t,t1200_stored_t,t600_minus_t300_stored_t,t1200_minus_t600_stored_t,t300_vented_t,t600_vented_t,t1200_vented_t,t600_minus_t300_vented_t,t1200_minus_t600_vented_t,t300_captured_t,t600_captured_t,t1200_captured_t,t600_minus_t300_captured_t,t1200_minus_t600_captured_t,t300_wall_clock_seconds,t600_wall_clock_seconds,t1200_wall_clock_seconds,t600_minus_t300_wall_clock_seconds,t1200_minus_t600_wall_clock_seconds,t300_solver_solve_wall_seconds,t600_solver_solve_wall_seconds,t1200_solver_solve_wall_seconds,t600_minus_t300_solver_solve_wall_seconds,t1200_minus_t600_solver_solve_wall_seconds
9000041,2050671.2118801554,2050671.2118801554,2050671.2118801554,0.0,0.0,1774108.9667787899,1774108.9667787899,1774108.9667787899,0.0,0.0,233368.4550740662,233368.4550740662,233368.4550740662,0.0,0.0,105778.50885648398,105778.50885648398,105778.50885648398,0.0,0.0,3457.02806376707,3457.02806376707,3457.02806376707,0.0,0.0,125444.62651394652,125444.62651394652,125444.62651394652,0.0,0.0,5595.3032639035955,10728.889498854056,20901.106889172923,5133.5862349504605,10172.217390318867,5281.725190429017,10417.667686108965,20593.598915909417,5135.9424956799485,10175.931229800452
9000042,1775894.364005296,1704683.0519553637,1704683.0519553642,-71211.31204993231,4.656612873077393e-10,1702078.1981229868,1683449.6580144162,1683449.6580144162,-18628.540108570596,0.0,248147.12298951598,234872.63085692364,234779.9679671385,-13274.492132592335,-92.6628897851333,104225.47584700742,106649.33750088152,106875.34454913791,2423.8616538741044,226.00704825638968,922.702073528866,265.4174242618467,265.4174242618467,-657.2846492670193,0.0,122590.33961068436,122590.33961068436,122590.33961068436,0.0,0.0,7467.242474399041,12731.649021612015,24470.724252219778,5264.406547212973,11739.075230607763,7215.735364694148,12488.58279431425,24221.2593424106,5272.847429620102,11732.676548096351
9000043,2277521.7290637405,1848406.8849600037,1848406.8849600037,-429114.8441037368,0.0,1680318.942494376,1767910.9519724194,1767910.9519724194,87592.0094780433,0.0,226882.04854202888,209264.16725522923,209264.16725522923,-17617.881286799646,0.0,95677.36939595955,103748.14565166723,103748.14565166723,8070.7762557076785,0.0,7465.034832117044,1006.1991623448037,1006.1991623448037,-6458.83566977224,0.0,122999.51700733569,122999.51700733569,122999.51700733569,0.0,0.0,7172.367617816199,9998.228304311167,18479.245579666924,2825.860686494969,8481.017275355756,6982.814065907616,9789.872010890394,18279.908239537384,2807.0579449827783,8490.03622864699
9000044,1749991.6922290896,1749991.6922290896,2308666.772985098,0.0,558675.0807560084,1749991.6922290896,1749991.6922290896,1712259.2553704856,0.0,-37732.43685860396,195457.0796065558,195457.0796065558,321918.0791664203,0.0,126460.99955986452,115731.28342453578,115731.28342453578,100731.2834245359,0.0,-14999.999999999884,0.0,0.0,7455.093970182656,0.0,7455.093970182656,129859.10158151455,129859.10158151455,129859.10158151455,0.0,0.0,6284.599635777995,12277.337723650038,31699.47737675812,5992.738087872043,19422.139653108083,6102.36303578224,12098.074061735533,31545.671851096675,5995.711025953293,19447.59778936114
9000045,2356014.76438643,2356014.76438643,1980006.3456640989,0.0,-376008.41872233106,1673210.4471132508,1673210.4471132508,1702790.6961788435,0.0,29580.249065592652,267846.58787807595,267846.58787807595,224260.79178274755,0.0,-43585.796095328405,99542.0035538456,99542.0035538456,99851.99242948748,0.0,309.98887564188044,8535.053965914734,8535.053965914734,3465.1956185656913,0.0,-5069.8583473490435,125440.6630420947,125440.6630420947,125440.6630420947,0.0,0.0,6863.906349077821,13055.91702548787,27933.52851370722,6192.010676410049,14877.61148821935,6620.923709277529,12814.138946472201,27679.01469662087,6193.215237194672,14864.875750148669
9000046,1951286.679850844,1951286.679850844,1951286.679850844,0.0,0.0,1784670.5529580715,1784670.5529580715,1784670.5529580715,0.0,0.0,192124.57324540615,192124.57324540615,192124.57324540615,0.0,0.0,124463.61990029803,124463.61990029803,124463.61990029803,0.0,0.0,2082.7015861596574,2082.7015861596574,2082.7015861596574,0.0,0.0,132406.07380064274,132406.07380064274,132406.07380064274,0.0,0.0,7696.508245612029,14928.52957307361,29230.318165313918,7232.021327461582,14301.788592240307,7472.292365288828,14705.353986306116,29017.357974827755,7233.061621017288,14312.00398852164
9000047,2299316.696592754,1849746.8683753524,1881712.6483744937,-449569.82821740187,31965.77999914135,1697070.295196897,1748586.8035866036,1780552.583585745,51516.50838970672,31965.77999914135,221502.57256935857,196718.29069928845,203016.5120743053,-24784.281870070117,6298.221375016845,109244.79226332756,112549.07896065348,112800.72856552566,3304.2866973259224,251.64960487217468,7528.0800174482165,1264.5008098593592,1264.5008098593592,-6263.579207588858,0.0,128277.74695956499,128277.74695956499,128277.74695956499,0.0,0.0,7062.17263771221,13432.74974276498,23969.621328892186,6370.577105052769,10536.871586127207,6747.195796743967,13115.078618196305,23656.378358012065,6367.882821452338,10541.29973981576
9000048,2588329.1383681437,2238322.68021427,2238322.68021427,-350006.4581538737,0.0,1668039.00275075,1791872.039560078,1791872.039560078,123833.03680932801,0.0,244209.46761415785,273893.84942348674,273893.84942348674,29684.381809328886,0.0,101407.28082094183,108907.28082094193,108907.28082094193,7500.000000000102,0.0,11503.626695217417,5580.633008177403,5580.633008177403,-5922.993687040014,0.0,131010.22127700872,131010.22127700872,131010.22127700872,0.0,0.0,6609.906241397839,11581.020103893708,21629.257754319347,4971.113862495869,10048.237650425639,6357.6482353545725,11326.3718277039,21371.868308582343,4968.723592349328,10045.496480878443
9000049,1902404.682295682,1874198.1505790306,1874198.1505790306,-28206.531716651283,0.0,1575855.2147509535,1640713.9438871085,1640713.9438871085,64858.72913615499,0.0,157183.33759307663,188720.92572128016,188720.92572128016,31537.588128203526,0.0,102567.65771655962,100904.12579251276,100904.12579251276,-1663.531924046867,0.0,4081.868344309106,2918.5525836490274,2918.5525836490274,-1163.3157606600785,0.0,124881.7699196395,124881.76991963951,124881.76991963951,1.4551915228366852e-11,0.0,6872.52531029284,14203.355793910101,25986.281655260827,7330.830483617261,11782.925861350726,6598.153155290056,13927.744415231515,25721.539761751425,7329.591259941459,11793.79534651991
9000050,2309098.2174299285,2309098.2174299285,2552881.5537336553,0.0,243783.33630372677,1728569.860269154,1728569.860269154,1693899.4790867362,0.0,-34670.38118241774,214361.55975455305,214361.55975455305,214433.1501099466,0.0,71.5903553935641,109876.14724879694,109876.14724879694,105746.8389677621,0.0,-4129.308281034842,7256.604464509676,7256.604464509676,10737.275933086496,0.0,3480.6714685768193,132171.66508378548,132171.66508378548,132171.66508378548,0.0,0.0,6477.286629127804,12124.149084335193,24723.69799990114,5646.862455207389,12599.548915565945,6152.950346921105,11791.00833382085,24405.22285349993,5638.057986899745,12614.21451967908
9000051,1910789.0063711447,2062598.9039833313,1972186.5664838362,151809.8976121866,-90412.33749949513,1847925.801555104,1821110.6348102475,1826469.659182229,-26815.16674485663,5359.024371981621,265838.3092865142,210782.52362582355,199982.31173957238,-55055.78566069063,-10800.21188625117,115276.25855944015,115666.92296239448,113882.33113086135,390.6644029543386,-1784.5918315331364,785.7900602005031,3018.6033646635506,1821.4613412700871,2232.8133044630476,-1197.1420233934634,128981.17360926494,128981.17360926494,128981.17360926494,0.0,0.0,4964.736201570369,9881.064492936246,22719.547543013003,4916.328291365877,12838.483050076757,4610.38884877786,9529.139468794223,22367.945056433324,4918.7506200163625,12838.8055876391
9000052,2247940.10462828,1773739.6461533632,1751322.0861550968,-474200.45847491664,-22417.5599982664,1642031.1368096157,1773739.6461533632,1751322.0861550968,131708.50934374752,-22417.5599982664,226384.38882041263,181483.98302157404,165087.61903347346,-44900.40579883859,-16396.36398810058,101204.93016440666,116490.31829226062,116490.31829226059,15285.388127853963,-2.9103830456733704e-11,7573.8620977333,0.0,0.0,-7573.8620977333,0.0,130292.35070980627,130292.35070980627,130292.35070980627,0.0,0.0,7877.320583503228,14797.111200916115,29565.941802702844,6919.7906174128875,14768.830601786729,7657.0135024474,14559.899737754371,29314.254475966096,6902.886235306971,14754.354738211725
9000053,1901437.4781864525,1901437.4781864525,1901437.4781864525,0.0,0.0,1624577.8802669107,1624577.8802669107,1624577.8802669107,0.0,0.0,221481.23317375555,221481.23317375555,221481.23317375555,0.0,0.0,102249.04279358484,102249.04279358484,102249.04279358484,0.0,0.0,3460.7449739942763,3460.7449739942763,3460.7449739942763,0.0,0.0,119353.23535741051,119353.23535741051,119353.23535741051,0.0,0.0,6726.029871770181,12726.689782677218,24063.18031428801,6000.659910907038,11336.49053161079,6299.797718948219,12395.409822748508,23733.836322688498,6095.612103800289,11338.42649993999
9000054,2743967.0885134107,2743967.0885134107,2743967.0885134107,0.0,0.0,1833783.1953551802,1833783.1953551802,1833783.1953551802,0.0,0.0,347042.9315763592,347042.9315763592,347042.9315763592,0.0,0.0,96219.07106492396,96219.07106492396,96219.07106492396,0.0,0.0,11377.298664477883,11377.298664477883,11377.298664477883,0.0,0.0,132093.2010707144,132093.2010707144,132093.2010707144,0.0,0.0,5233.15809170017,9730.664401315153,18597.459851077758,4497.5063096149825,8866.795449762605,4902.081342744175,9397.39341654582,18270.323187062982,4495.312073801644,8872.929770517163
9000055,2023126.2839932581,2023126.2839932581,2023126.2839932581,0.0,0.0,1787940.3217273888,1787940.3217273888,1787940.3217273888,0.0,0.0,293831.8453151072,293831.8453151072,293831.8453151072,0.0,0.0,102154.80222506462,102154.80222506462,102154.80222506462,0.0,0.0,2939.824528323365,2939.824528323365,2939.824528323365,0.0,0.0,124998.78160566899,124998.78160566899,124998.78160566899,0.0,0.0,3820.8682733168826,6818.884148661047,12715.237261953764,2998.0158753441647,5896.353113292716,3521.4315212881193,6522.235226503108,12428.58405414503,3000.8037052149884,5906.348827641923
9000056,1975688.2597215276,1928589.6410331812,2041386.7774683032,-47098.61868834635,112797.136435122,1848802.1254191913,1848226.9029737336,1724495.0187660854,-575.2224454577081,-123731.88420764823,281786.3961439042,286920.9241106773,163821.7758416108,5134.527966773137,-123099.14826906653,104553.75741669988,104785.77509508055,107765.38290205131,232.01767838066735,2979.6078069707582,1586.0766787792047,1004.5342257430949,3961.146983777728,-581.5424530361098,2956.6127580346333,126854.31280836993,126854.31280836993,126854.31280836993,0.0,0.0,6486.752743711229,11899.386143327225,19031.864817793947,5412.633399615996,7132.478674466722,6192.582089221105,11604.905783824623,18745.35277941404,5412.323694603518,7140.4469955894165
9000057,2380858.3660164326,2600976.848755597,2514972.0989598557,220118.4827391645,-86004.7497957414,1587607.4482976524,1558915.1895722682,1573953.6593987374,-28692.25872538425,15038.469826469198,194818.28999437566,162917.30576559118,169809.17034475767,-31900.98422878448,6891.864579166489,100237.09981539742,94889.50370646002,100861.98742008943,-5347.596108937403,5972.483713629408,9915.636471484773,13025.770739791622,11762.730494513984,3110.1342683068488,-1263.040245277638,122972.65226763315,122972.65226763315,122972.65226763315,0.0,0.0,6904.250364139676,11501.915800093208,23750.200291598216,4597.665435953531,12248.284491505008,6719.569203283638,11322.126041183714,23577.763377984986,4602.556837900076,12255.637336801272
9000058,2172908.6218562485,2359117.3438523225,2359117.3438523225,186208.72199607408,0.0,1651891.201327531,1624803.9238737305,1624803.9238737305,-27087.27745380043,0.0,180063.2418202531,245586.1740128211,245586.1740128211,65522.932192568,0.0,101779.32948394625,99079.94210187419,99079.94210187419,-2699.387382072062,0.0,6512.717756608974,9178.917749732405,9178.917749732405,2666.1999931234313,0.0,126103.88537882672,126103.88537882672,126103.88537882672,0.0,0.0,6651.0237685078755,14036.411862120032,25183.62970257178,7385.388093612157,11147.217840451747,6413.35131694423,13796.025804514997,24943.242536993697,7382.674487570766,11147.2167324787
9000059,1834132.930825844,1834132.930825844,1976905.5945323254,0.0,142772.66370648146,1753171.2122320868,1753171.2122320868,1695907.4969855496,0.0,-57263.715246537235,212167.63691792986,212167.63691792986,219939.00144218293,0.0,7771.364524253062,115085.79645024004,115085.79645024004,106006.89809525106,0.0,-9078.898354988982,1012.0214824219643,1012.0214824219643,3512.476219334697,0.0,2500.4547369127326,125978.9416694392,125978.9416694392,125978.9416694392,0.0,0.0,6194.333374348003,11908.430789981969,26867.173461169936,5714.097415633965,14958.742671187967,5914.794837928843,11631.857200901024,26605.68360927468,5717.062362972181,14973.826408373658
9000060,2962547.5357452077,2225062.8827922978,2532650.0711680674,-737484.6529529099,307587.18837576965,1593393.3721948147,1676809.421818993,1624109.791463267,83416.04962417833,-52699.630355725996,250663.33855273604,202395.62750634833,178509.72190380708,-48267.7110463877,-23885.905602541257,86221.73756620957,101221.73756620967,101221.73756620969,15000.000000000102,1.4551915228366852e-11,17114.427044379878,6853.168262166312,11356.753496309999,-10261.258782213565,4503.585234143687,126857.6135473692,126857.6135473692,126857.6135473692,0.0,0.0,6572.863320844714,11613.005005335901,21923.81144967163,5040.141684491187,10310.806444335729,6385.832732495852,11404.189338778611,21732.710630538873,5018.3566062827595,10328.521291760262
