gate,seed,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
g60_p4_test_9000031_9000060,9000041,375,11,349,4.912,0,1,1885783.5154736692,1849507.7614168185,36275.75405685068,176049.01057016873,236002.43776164885,-59953.42719148012,2061832.526043838,2085510.1991784673,-23677.673134629382,1833489.6742926394,1765449.464924167,68040.20936847245,228342.8517511985,320060.7342543004,-91717.88250310192,2854.285646889981,4000.7591781787564,-1146.4735312887756,110830.75970481994,105778.5088564841,5052.25084833584,18.603432219856654,19.71582150026336,-1.1123892804067061
g60_p4_test_9000031_9000060,9000042,512,12,423,4.837890625,0,4,1539674.9361304545,2463651.9595432403,-923977.0234127857,142239.0510169817,249542.1630100177,-107303.111993036,1681913.9871474362,2713194.122553258,-1031280.135405822,1681913.9871474362,1487648.0054710768,194265.98167635943,0.0,1225546.1170821812,-1225546.1170821812,0.0,15319.326463527254,-15319.326463527254,105959.62367198066,84584.10356355288,21375.52010842778,15.873159311646287,32.076879794732115,-16.203720483085828
g60_p4_test_9000031_9000060,9000043,487,11,429,4.848049281314168,0,2,1530352.229000473,2065392.4405893614,-535040.2115888884,254936.52818573636,246085.5553208533,8850.97286488305,1785288.7571862093,2311477.9959102147,-526189.2387240054,1784008.3617603912,1663425.0023901663,120583.35937022488,1280.3954258181188,648052.9935200483,-646772.5980942302,16.004942822726484,8100.662419000601,-8084.657476177875,107609.92950853422,96818.52510115394,10791.40440738028,16.590371960466932,23.874335965097917,-7.283964004630985
g60_p4_test_9000031_9000060,9000044,480,12,430,4.725,2,2,1614437.8823396144,1554534.6126225337,59903.26971708075,258435.2498899678,195457.0796065558,62978.17028341198,1872873.1322295822,1749991.6922290896,122881.44000049261,1872873.1322295822,1749991.6922290896,122881.44000049261,0.0,0.0,0.0,0.0,0.0,0.0,112103.90535613355,115731.28342453578,-3627.378068402235,16.70658240031699,15.121163789479587,1.5854186108374027
g60_p4_test_9000031_9000060,9000045,435,12,358,4.7701149425287355,2,1,1585390.3922872117,2088583.3165083542,-503192.9242211424,166472.27402407664,267846.58787807595,-101374.31385399931,1751862.6663112883,2356429.90438643,-604567.2380751418,1751862.6663112883,1673625.5871132507,78237.0791980375,0.0,682804.3172731792,-682804.3172731792,0.0,8535.053965914734,-8535.053965914734,115302.34084784993,99542.0035538456,15760.337294004334,15.193643541226992,23.67271925676841,-8.479075715541418
g60_p4_test_9000031_9000060,9000046,427,11,351,4.838407494145199,1,1,1633899.6167355732,1759162.1066054378,-125262.48986986466,193777.39921066954,192124.57324540615,1652.825965263386,1827677.0159462427,1951286.679850844,-123609.66390460124,1827677.0159462427,1784670.5529580715,43006.46298817126,0.0,166616.12689277253,-166616.12689277253,0.0,2082.7015861596574,-2082.7015861596574,124182.89996498059,124463.61990029803,-280.71993531743647,14.71762228504605,15.677566516335682,-0.9599442312896329
g60_p4_test_9000031_9000060,9000047,436,11,407,4.8692660550458715,0,1,1652986.1475145766,1645514.6027695595,7471.544745017076,184961.29550893596,185787.68843777254,-826.3929288365762,1837947.4430235126,1831302.291207332,6645.151816180674,1837947.4430235126,1796106.987766258,41840.45525725465,0.0,35195.30344107398,-35195.30344107398,0.0,439.94129301342485,-439.94129301342485,113712.91917866594,116042.59673840055,-2329.677559734613,16.163048634216544,15.781293616995745,0.3817550172207991
g60_p4_test_9000031_9000060,9000048,383,11,355,4.804177545691906,0,2,1698757.7280207681,2344119.6707539856,-645361.9427332175,222411.2813760505,244209.46761415785,-21798.18623810736,1921169.0093968187,2588329.1383681437,-667160.128971325,1838267.5333235632,1668039.00275075,170228.53057281324,82901.47607325552,920290.1356173938,-837388.6595441382,1036.2684509156943,11503.626695217417,-10467.358244301722,114424.70596952784,101407.28082094183,13017.425148586015,16.78980944821864,25.524095680451598,-8.734286232232957
g60_p4_test_9000031_9000060,9000049,535,12,509,4.891588785046729,2,4,1442241.1629920586,1687273.8920566018,-245032.72906454327,230143.16629301588,153205.8829228738,76937.28337014208,1672384.3292850745,1840479.7749794757,-168095.44569440116,1672384.3292850745,1614971.6054207825,57412.72386429203,0.0,225508.1695586931,-225508.1695586931,0.0,2818.852119483664,-2818.852119483664,106608.80243682316,102916.98012346955,3691.8223133536085,15.687112987467772,17.88314982397901,-2.1960368365112384
g60_p4_test_9000031_9000060,9000050,490,12,455,4.812244897959184,3,1,1617086.6981266206,2041368.9834176674,-424282.28529104684,231013.05258627885,290977.074011941,-59964.021425662126,1848099.7507128995,2332346.0574296084,-484246.30671670893,1848099.7507128995,1751817.7002688341,96282.05044406536,0.0,580528.3571607744,-580528.3571607744,0.0,7256.604464509676,-7256.604464509676,116320.33216407389,107365.83675950028,8954.495404573609,15.888019887237688,21.723353795063034,-5.835333907825346
g60_p4_test_9000031_9000060,9000051,466,10,382,4.866952789699571,0,0,1679377.2106764605,1701635.115629128,-22257.90495266742,194575.19555975928,231342.11844138431,-36766.92288162504,1873952.4062362197,1932977.2340705122,-59024.82783429255,1873952.4062362197,1821277.1599969582,52675.24623926147,0.0,111700.07407355397,-111700.07407355397,0.0,1396.2509259194253,-1396.2509259194253,121076.44940946878,114284.41581241634,6792.033597052447,15.477431122040048,16.913742965998566,-1.4363118439585172
g60_p4_test_9000031_9000060,9000052,436,12,343,4.795871559633028,0,0,1649281.716111153,2022253.714072708,-372971.99796155514,218279.57004255717,225271.25055557245,-6991.680513015279,1867561.28615371,2247524.9646282806,-379963.6784745706,1867561.28615371,1641615.9968096162,225945.28934409376,0.0,605908.9678186643,-605908.9678186643,0.0,7573.8620977333,-7573.8620977333,114610.16162689039,101775.7064201145,12834.455206775892,16.294901426223394,22.08311829692287,-5.788216870699475
g60_p4_test_9000031_9000060,9000053,423,12,328,4.8108747044917255,1,4,1504741.9954378526,1674974.565012697,-170232.56957484432,220763.45444424992,221481.23317375555,-717.7787295056332,1725505.4498821024,1896455.7981864524,-170950.34830434993,1725505.4498821024,1619596.2002669105,105909.24961519195,0.0,276859.5979195419,-276859.5979195419,0.0,3460.7449739942754,-3460.7449739942754,106093.49176470123,102249.04279358484,3844.4489711163915,16.2640084813968,18.547418600435417,-2.283410119038617
g60_p4_test_9000031_9000060,9000054,366,11,288,4.877049180327869,0,0,1983162.8804622635,3083617.246519951,-1100454.3660576877,301131.2257114866,268989.85200215015,32141.373709336447,2284294.10617375,3352607.0985221015,-1068312.9923483515,1937876.25041293,1595755.457466625,342120.7929463051,346417.85576082004,1756851.6410554764,-1410433.7852946564,4330.223197010251,21960.645513193453,-17630.4223161832,105921.74389923204,89317.49155332484,16604.252345907196,21.565865723914992,37.535840295296566,-15.969974571381574
g60_p4_test_9000031_9000060,9000055,439,11,387,4.7494305239179955,1,2,1667426.8542429633,2152152.2897590837,-484725.4355161204,284550.3802235296,227529.87902817575,57020.501195353834,1951977.234466493,2379682.1687872596,-427704.9343207667,1798945.4686010564,1718000.4178705523,80945.0507305041,153031.7658654364,661681.750916707,-508649.9850512706,1912.8970733179551,8271.021886458835,-6358.12481314088,106740.64775602958,100570.55815212545,6170.089603904125,18.287103137391533,23.661817260551494,-5.374714123159961
g60_p4_test_9000031_9000060,9000056,343,12,287,4.78134110787172,1,3,1602572.0872199535,2038461.402699088,-435889.31547913444,296742.87924843293,232919.69111800278,63823.18813043015,1899314.9664683864,2271381.0938170906,-372066.12734870426,1899314.9664683864,1778025.899132593,121289.06733579328,0.0,493355.19468449784,-493355.19468449784,0.0,6166.939933556223,-6166.939933556223,105907.74065289191,100265.38290205119,5642.357750840718,17.9336746753319,22.653691913150052,-4.720017237818151
g60_p4_test_9000031_9000060,9000057,424,12,390,4.669811320754717,1,4,1789297.3661916014,2186040.076022057,-396742.7098304555,207276.45853052655,194818.28999437566,12458.168536150886,1996573.824722128,2380858.3660164326,-384284.54129430465,1722350.828951494,1587607.4482976524,134743.38065384165,274222.9957706339,793250.9177187805,-519027.92194814654,3427.7874471329233,9915.636471484773,-6487.84902435185,106532.05180063368,100237.09981539742,6294.951985236257,18.741531689059723,23.752267078767865,-5.010735389708142
g60_p4_test_9000031_9000060,9000058,397,12,365,4.806045340050378,0,3,1714906.595107928,1992616.145852097,-277709.55074416916,190428.26689816086,180292.47600250278,10135.79089565808,1905334.8620060887,2172908.6218546,-267573.7598485113,1747204.606719824,1651891.201325882,95313.40539394203,158130.25528626476,521017.4205287178,-362887.16524245305,1976.6281910783096,6512.717756608974,-4536.089565530665,111282.75448681721,101779.32948394625,9503.425002870965,17.12156452985533,21.3492133704549,-4.227648840599571
