seed,decisions,mean_decision_interval_h,selected_interventions,selected_intervention_rate,feasible_intervention_decisions,changed_decisions,effective_intervention_rate,changed_native_steps,local_avoided_vent_t,local_incremental_stored_t,local_total_cost_saving_eur,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000048,101,7.128712871287129,11,0.10891089108910891,11,11,0.10891089108910891,40,7589.9499836424275,10750.98231859137,442558.0438801342,0.4425580438801342,131010.22127700872,102210.99925068112,11149.211100002378,0.7801757622755681,583686.8400000044,871177.0781205612,41906.509692779284,3400.598505067795,3000.7210050677963,1503171.7473234804,891936.88800019,0.0,264533.35284902964,1767705.1001725101,2395108.6353236707,2659641.9881727,26.021093695109105,0,2.1215067030861974
9000049,99,7.2727272727272725,6,0.06060606060606061,6,6,0.06060606060606061,25,5869.321455819731,2889.5484269536537,376462.8988098853,0.37646289880988515,124881.76991963951,102303.2447353,295.46224238763085,0.8192007912854805,473674.7400000063,860416.3353146215,41944.33034147303,3358.5944546648116,3173.753232940957,1382567.7533437065,23636.97939101047,0.0,272006.70371800225,1654574.4570617087,1406204.732734717,1678211.4364527192,16.404283566908685,0,2.4589772280305624
9000050,117,6.153846153846154,7,0.05982905982905983,7,7,0.05982905982905983,33,14447.771517616839,11701.048721667146,934325.2253662527,0.9343252253662528,132171.66508378548,112238.89486863208,1778.385288913577,0.8491902920151778,553796.7600000054,950032.1091909097,46017.94689613916,3708.4053878583845,3479.467887858385,1557034.6893627709,142270.82311308617,0.0,292095.7000017609,1849130.3893645317,1699305.512475857,1991401.212477618,17.742523345480336,0,3.110256761778146
9000051,122,5.901639344262295,8,0.06557377049180328,8,8,0.06557377049180328,33,7457.650832263725,5883.151817326987,423107.6506494157,0.42310765064941563,128981.17360926494,109502.99470122164,6077.631093992669,0.8489843256733699,610255.800000008,938731.2370541494,44896.22782750082,3664.292968168537,3327.282020780161,1600874.839870607,486210.4875194136,0.0,261710.7830815955,1862585.6229522026,2087085.3273900207,2348796.110471616,21.449606167213,0,3.3294988311827183
9000052,99,7.2727272727272725,5,0.050505050505050504,5,5,0.050505050505050504,21,3942.9062131817454,7785.388127853876,221300.94449478883,0.22130094449478882,130292.35070980627,108990.31829226068,7760.511599230812,0.836505886174465,497337.72000000585,879750.0000000003,44686.030499826855,3434.062499999999,3229.545000000004,1428437.357999833,620840.927938465,0.0,285110.8984600586,1713548.2564598918,2049278.285938298,2334389.184398357,21.418316975078696,0,1.807997233234346
9000053,88,8.181818181818182,5,0.056818181818181816,5,5,0.056818181818181816,23,5277.376598056978,7171.422794952421,312843.01460082113,0.3128430146008211,119353.23535741051,104264.4416838243,0.0,0.8735786790496136,525152.1000000047,838741.4541212408,42748.42109036802,3273.987581464311,3174.32333423515,1413090.286127313,0.0,0.0,278373.6837557945,1691463.9698831076,1413090.286127313,1691463.9698831076,16.22282671413876,0,3.19320230698213
9000054,95,7.578947368421052,3,0.031578947368421054,3,3,0.031578947368421054,12,0.0,0.0,-22417.559994779993,-0.022417559994780088,132093.2010707144,95093.90982674174,17975.118488880053,0.7199001088317516,519755.28000000695,899851.8552861864,38988.50302896415,3512.5291409988217,2872.345807742837,1464980.5132638991,1438009.4791104037,0.0,219032.7680408792,1684013.2813047783,2902989.992374303,3122022.760415182,32.830943286519755,0,3.1422073086723685
9000055,112,6.428571428571429,10,0.08928571428571429,10,10,0.08928571428571429,38,6169.230344053133,485.64883790489694,318262.1702890742,0.3182621702890742,124998.78160566899,92767.27367888397,11958.381997153381,0.7421454232372834,592404.7800000056,845877.6542596102,38034.58220834239,3301.843401058135,2753.6720836997238,1482372.531952716,956670.5597722708,0.0,284762.6788713869,1767135.2108241029,2439043.0917249867,2723805.770596374,29.361709820479252,0,2.704501365777105
9000056,106,6.7924528301886795,10,0.09433962264150944,10,10,0.09433962264150944,29,14970.205000741671,20055.685091996886,996281.6419007434,0.9962816419007428,126854.31280836993,106120.27247998804,1114.5663386556687,0.8365523420579056,569987.2200000061,915501.3027966281,43509.311716795106,3573.6160189088364,3237.841018908838,1535809.291551247,89165.30709245348,0.0,297390.56967622077,1833199.8612274677,1624974.5986437006,1922365.1683199215,18.114966381022416,0,2.812727919779718
9000057,95,7.578947368421052,4,0.042105263157894736,4,4,0.042105263157894736,13,2304.7267938487257,7500.000000000015,120019.27842320479,0.12001927842320476,122972.65226763315,107175.37235904485,3825.8281146354757,0.8715382679214914,514773.6000000078,849978.2817060094,43941.90266720839,3317.850006275692,3165.8335036338585,1415177.467883135,306066.24917083804,0.0,286852.4459915312,1702029.9138746662,1721243.717053973,2008096.1630455044,18.73654477558748,0,1.6181987808085978
9000058,90,8.0,2,0.022222222222222223,2,2,0.022222222222222223,5,1349.8072650528547,0.0,42409.921682403045,0.04240992168240309,126103.88537882672,98524.152333236,3846.337551272014,0.7812935504505759,501904.2600000043,883614.6506375779,40394.90245662675,3449.147980909478,3240.13476368335,1432603.095838802,307707.00410176115,0.0,270039.85708729713,1702642.952926099,1740310.099940563,2010349.9570278602,20.40464098821474,0,2.318860369268805
9000059,110,6.545454545454546,8,0.07272727272727272,8,8,0.07272727272727272,20,4760.054563023281,5259.541181114342,247516.87464418204,0.24751687464418198,125978.9416694392,103994.59547317763,4294.600274568891,0.8254918964635605,568326.6600000069,886888.496369852,42637.784144002835,3461.927282824772,3313.6753048789337,1504628.5431015657,343568.0219655113,0.0,272804.00423843856,1777432.5473400042,1848196.565067077,2121000.569305516,20.395296117600324,0,2.525089451111853
9000060,97,7.422680412371134,11,0.1134020618556701,11,11,0.1134020618556701,48,5924.840228415462,11988.273028682423,384180.3516991367,0.38418035169913667,126857.6135473692,101221.73756620966,8451.507865518714,0.7979161418515335,566250.9600000035,888376.828659462,41500.912402145936,3467.7369174974556,2976.1875000000036,1502572.625479109,676120.6292414976,0.0,167211.98277141206,1669784.608250521,2178693.2547206064,2345905.2374920184,23.175903653674684,0,1.9095623618923128
