seed,decisions,mean_decision_interval_h,selected_interventions,selected_intervention_rate,feasible_intervention_decisions,changed_decisions,effective_intervention_rate,changed_native_steps,local_avoided_vent_t,local_incremental_stored_t,local_total_cost_saving_eur,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_operating_cost_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000041,102,7.0588235294117645,10,0.09803921568627451,10,10,0.09803921568627451,31,6812.24108819924,8522.988585481478,355653.8555702317,0.35565385557023166,125444.62651394652,99041.82325228323,9944.827030020784,0.7895262316498832,1564466.5065799581,235558.67458099782,1800025.181160956,2360052.66898162,2595611.343562618,26.207224971525157,0,2.5801492813043296
9000042,96,7.5,2,0.020833333333333332,2,2,0.020833333333333332,11,3745.1346731908216,7187.241341604007,219988.29502237018,0.21998829502237022,122590.33961068436,101549.58252516417,1605.9086318898082,0.8283652924664352,1427987.043443415,283786.8349435705,1711773.8783869855,1556459.7339945997,1840246.56893817,18.12165567969867,0,2.1551037169992924
9000043,109,6.605504587155964,10,0.09174311926605505,10,10,0.09174311926605505,31,6760.914805274466,9797.369577388541,373975.7217416022,0.3739757217416021,122999.51700733569,92455.46887330183,5840.6804175089055,0.7516734302931269,1458441.4610691764,312976.2650933245,1771417.726162501,1925695.8944698889,2238672.1595632136,24.213517997848477,0,1.5194175699725747
9000044,116,6.206896551724138,7,0.0603448275862069,7,7,0.0603448275862069,25,14012.36204790304,9155.085846923583,898120.7894746633,0.8981207894746635,129859.10158151455,109722.90097909585,1557.3377180918296,0.844938087841468,1552833.4478615343,270180.2594807155,1823013.7073422498,1677420.4653088807,1947600.7247895962,17.75017528164561,0,1.1886640647426248
9000045,100,7.2,5,0.05,5,5,0.05,14,6962.3733297424715,2525.675485955886,427860.4009860855,0.4278604009860855,125440.6630420947,98574.82727679293,2667.6731210924668,0.7858283341799119,1425053.7304579085,304691.12462032825,1729744.8550782367,1638467.580145306,1943158.7047656341,19.712524570896246,0,2.2268046969547868
9000046,101,7.128712871287129,5,0.04950495049504951,5,5,0.04950495049504951,21,3710.4103997417596,5365.57056879146,254030.5738224237,0.2540305738224237,132406.07380064274,114045.2073859217,8154.627619917835,0.8613291226929205,1494406.4738256026,238260.87678914474,1732667.3506147473,2146776.683419029,2385037.560208174,20.913088895856525,0,1.6156881819479167
9000047,89,8.089887640449438,2,0.02247191011235955,2,2,0.02247191011235955,11,5405.249792784128,7187.848895274248,351902.74712804693,0.351902747128047,128277.74695956499,107442.91433135512,6020.878250883049,0.8375803042847539,1450778.6121073812,279129.82829725766,1729908.4404046389,1932448.872178025,2211578.700475283,20.583755701699882,0,2.728462107013911
9000048,101,7.128712871287129,11,0.10891089108910891,11,11,0.10891089108910891,40,7589.9499836424275,10750.98231859137,442558.0438801342,0.4425580438801342,131010.22127700872,102210.99925068112,11149.211100002378,0.7801757622755681,1503171.7473234804,264533.35284902964,1767705.1001725101,2395108.6353236707,2659641.9881727,26.021093695109105,0,2.1148757659830153
9000049,99,7.2727272727272725,6,0.06060606060606061,6,6,0.06060606060606061,25,5869.321455819731,2889.5484269536537,376462.8988098853,0.37646289880988515,124881.76991963951,102303.2447353,295.46224238763085,0.8192007912854805,1382567.7533437065,272006.70371800225,1654574.4570617087,1406204.732734717,1678211.4364527192,16.404283566908685,0,2.4481388456188142
9000050,117,6.153846153846154,7,0.05982905982905983,7,7,0.05982905982905983,33,14447.771517616839,11701.048721667146,934325.2253662527,0.9343252253662528,132171.66508378548,112238.89486863208,1778.385288913577,0.8491902920151778,1557034.6893627709,292095.7000017609,1849130.3893645317,1699305.512475857,1991401.212477618,17.742523345480336,0,3.0941973458975554
9000051,122,5.901639344262295,8,0.06557377049180328,8,8,0.06557377049180328,33,7457.650832263725,5883.151817326987,423107.6506494157,0.42310765064941563,128981.17360926494,109502.99470122164,6077.631093992669,0.8489843256733699,1600874.839870607,261710.7830815955,1862585.6229522026,2087085.3273900207,2348796.110471616,21.449606167213,0,3.3133891308680177
9000052,99,7.2727272727272725,5,0.050505050505050504,5,5,0.050505050505050504,21,3942.9062131817454,7785.388127853876,221300.94449478883,0.22130094449478882,130292.35070980627,108990.31829226068,7760.511599230812,0.836505886174465,1428437.357999833,285110.8984600586,1713548.2564598918,2049278.285938298,2334389.184398357,21.418316975078696,0,1.8082532417029142
9000053,88,8.181818181818182,5,0.056818181818181816,5,5,0.056818181818181816,23,5277.376598056978,7171.422794952421,312843.01460082113,0.3128430146008211,119353.23535741051,104264.4416838243,0.0,0.8735786790496136,1413090.286127313,278373.6837557945,1691463.9698831076,1413090.286127313,1691463.9698831076,16.22282671413876,0,3.1513036470860243
9000054,95,7.578947368421052,3,0.031578947368421054,3,3,0.031578947368421054,12,0.0,0.0,-22417.559994779993,-0.022417559994780088,132093.2010707144,95093.90982674174,17975.118488880053,0.7199001088317516,1464980.5132638991,219032.7680408792,1684013.2813047783,2902989.992374303,3122022.760415182,32.830943286519755,0,3.1253077569417655
