gate,seed,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
one_shot_low_s0,9000041,501,12,454,4.7624750499002,1,2,562929.8400000067,533870.0400000064,29059.80000000028,964839.8702452846,877247.2269446229,87592.6433006617,45184.95251848358,40294.18863115842,4890.7638873251635,3766.206782511164,3424.2930437959894,341.91373871517453,3356.7988538838804,2976.187500000005,380.6113538838754,1580077.66840017,1457811.9361195837,122265.73228058638,0.0,768766.2301757631,-768766.2301757631,0.0,0.0,0.0,1580077.66840017,2226578.166295347,-646500.4978951768,170078.2284873206,219312.7101090419,-49234.481621721294,1750155.8968874905,2445890.876404389,-695734.9795168983,1750155.8968874905,1677124.6462286254,73031.25065886509,0.0,768766.2301757631,-768766.2301757631,0.0,9609.577877197029,-9609.577877197029,110207.20126459381,98278.50885648394,11928.69240810987,15.880594705291385,24.887342155100484,-9.0067474498091
one_shot_low_s0,9000042,480,12,439,4.664583333333334,1,3,524736.9600000047,440878.68000000465,83858.28000000009,911539.4180190627,774777.2814005954,136762.13661846728,43237.97954185861,37700.90588265763,5537.073659200978,3558.150989134516,3024.3064596871122,533.8445294474036,3155.5030448572747,2942.610000000003,212.8930448572719,1486228.0115949179,1259323.7837429452,226904.22785197268,0.0,499786.44450749,-499786.44450749,0.0,0.0,0.0,1486228.0115949179,1759110.228250435,-272882.21665551723,169479.73263475465,286467.4304922941,-116987.69785753943,1655707.7442296725,2045577.658742729,-389869.91451305663,1655707.7442296725,1545791.2142352392,109916.52999443328,0.0,499786.44450749,-499786.44450749,0.0,6247.330556343627,-6247.330556343627,105458.4866874599,91953.42898209186,13505.057705368032,15.700090113530457,22.245800742690193,-6.545710629159736
one_shot_low_s0,9000043,450,12,417,4.7,0,1,546324.2400000043,479901.8400000048,66422.3999999995,950163.9677262458,886127.0947498425,64036.87297640322,42660.672256736645,42068.703187503226,591.9690692334188,3708.920091412239,3458.9551876264673,249.96490378577164,3081.24062733711,3147.1275000000046,-65.8868726628948,1545939.0407017358,1414703.7206249768,131235.32007675897,0.0,313494.6340055461,-313494.6340055461,0.0,0.0,0.0,1545939.0407017358,1728198.354630523,-182259.31392878713,188248.95713226724,211023.66114240445,-22774.70401013721,1734187.997834003,1939222.0157729273,-205034.01793892425,1734187.997834003,1625727.3817673812,108460.61606662185,0.0,313494.6340055461,-313494.6340055461,0.0,3918.6829250693286,-3918.6829250693286,104050.420138382,102606.59314025172,1443.8269981302874,16.66680437741258,18.899584874845498,-2.2327804974329197
one_shot_low_s0,9000044,459,12,398,4.751633986928105,0,3,569572.0800000057,469523.3400000053,100048.74000000034,910447.114325383,920819.9236311025,-10372.809305719566,45786.90805123172,44374.82620405972,1412.081847172005,3553.8872333481263,3594.3770036879073,-40.48977033978099,3431.7872333481273,3205.125000000004,226.6622333481232,1532791.7768433166,1441517.5918388553,91274.18500446132,0.0,0.0,0.0,0.0,0.0,0.0,1532791.7768433166,1441517.5918388553,91274.18500446132,213816.49343024957,223723.23843479497,-9906.745004545402,1746608.2702735662,1665240.8302736504,81367.43999991589,1746608.2702735662,1665240.8302736504,81367.43999991589,0.0,0.0,0.0,0.0,0.0,0.0,111675.38549080887,108231.28342453575,3444.102066273117,15.640046932430925,15.385947367377744,0.2540995650531812
one_shot_low_s0,9000045,422,12,351,4.684834123222749,2,3,566666.1000000061,478241.2800000052,88424.82000000094,929039.0489253638,874050.3267539345,54988.72217142931,44907.06623336784,42125.44708273701,2781.6191506308314,3626.459970389609,3411.814095161617,214.6458752279923,3341.074267584006,3205.1250000000045,135.94926758400152,1547579.7493967116,1401033.9929318384,146545.7564648732,0.0,185925.54574729767,-185925.54574729767,0.0,0.0,0.0,1547579.7493967116,1586959.538679136,-39379.789282424375,190013.6699761055,271209.9114876096,-81196.24151150411,1737593.419372817,1858169.4501667456,-120576.03079392854,1737593.419372817,1672243.904419448,65349.51495336904,0.0,185925.54574729767,-185925.54574729767,0.0,2324.0693218412202,-2324.0693218412202,109529.42983748246,102744.99288472436,6784.4369527581,15.864169310029485,18.085255524340102,-2.221086214310617
one_shot_low_s0,9000046,507,12,397,4.6390532544378695,0,3,519340.1400000058,471183.90000000614,48156.23999999964,911802.1330365083,937619.3538568486,-25817.22082034021,47811.45711246948,44880.08415912226,2931.372953347214,3559.1764847748645,3659.9527847161507,-100.7762999412862,3423.3692912217725,3205.125000000004,218.24429122176844,1485936.2759249802,1460548.4158006932,25387.860124286963,149882.73936108415,392207.60335832415,-242324.86399724,0.0,0.0,0.0,1635819.0152860642,1852756.0191590174,-216937.00387295312,254810.07760115928,192812.84317951114,61997.23442164814,1890629.0928872235,2045568.8623385285,-154939.76945130504,1740746.3535261394,1653361.2589802044,87385.09454593505,149882.73936108415,392207.60335832415,-242324.86399724,1873.5342420135512,4902.595041979055,-3029.060799965504,116613.3100304132,109463.61990029817,7149.690130115021,16.21280703201153,18.687202782090313,-2.4743957500787843
one_shot_low_s0,9000047,467,12,442,4.817987152034261,0,2,548399.9400000059,519340.1400000066,29059.79999999929,982639.5299353711,935980.6668302948,46658.863105076365,47481.97444438728,44797.41104479825,2684.563399589024,3835.686911928034,3653.5562474417884,182.13066448624568,3434.062500000006,3434.062500000004,1.8189894035458565e-12,1585791.1937916924,1507205.8366225415,78585.35716915084,0.0,27620.035998732204,-27620.035998732204,0.0,0.0,0.0,1585791.1937916924,1534825.8726212739,50965.32117041852,172024.05599370747,261861.68441996942,-89837.62842626194,1757815.2497853998,1796687.5570412432,-38872.30725584342,1757815.2497853998,1769067.5210425109,-11252.271257111104,0.0,27620.035998732204,-27620.035998732204,0.0,345.2504499841525,-345.2504499841525,115809.69376679833,109261.97815804454,6547.715608753788,15.178481115104638,16.44384979413774,-1.2653686790331022
one_shot_low_s0,9000048,458,12,415,4.740174672489083,1,6,569156.9400000039,481147.26000000426,88009.67999999964,870909.2361458351,879749.9999999995,-8840.763854164397,39089.942702971486,42535.545531402815,-3445.602828431329,3399.552996592285,3434.062500000001,-34.50950340771578,2932.5204965922826,3205.125000000004,-272.6045034077215,1485488.1923419952,1410071.9930314065,75416.19931058865,300099.1750124565,458745.6051075771,-158646.43009512062,0.0,0.0,0.0,1785587.3673544517,1868817.5981389836,-83230.23078453192,299791.5704025588,235054.23117657867,64737.339225980104,2085378.9377570106,2103871.8293155623,-18492.891558551695,1785279.7627445539,1645126.2242079852,140153.53853656864,300099.1750124565,458745.6051075771,-158646.43009512062,3751.2396876557054,5734.320063844714,-1983.0803761890088,95341.323665784,103745.23300342147,-8403.909337637466,21.87277098299202,20.279214460351906,1.5935565226401138
one_shot_low_s0,9000049,456,12,410,4.74780701754386,0,2,537191.160000006,444614.94000000553,92576.22000000044,904860.4678985002,917051.40316811,-12190.935269609792,44210.859364146745,41732.42198016873,2478.4373839780164,3532.080023350608,3579.666762366572,-47.58673901596421,3434.0625000000055,2976.187500000003,457.8750000000023,1493228.6297860036,1409954.6194106508,83274.01037535281,27929.200711660433,151329.06727893619,-123399.86656727575,0.0,0.0,0.0,1521157.830497664,1561283.686689587,-40125.85619192314,167789.45277840536,175588.39235628952,-7798.939577884157,1688947.2832760692,1736872.0790458766,-47924.79576980742,1661018.082564409,1585543.0117669404,75475.07079746854,27929.200711660433,151329.06727893619,-123399.86656727575,349.1150088957554,1891.6133409867027,-1542.4983320909473,107831.3643027971,101786.3950735824,6044.969229214694,15.662857408846293,17.063892259768846,-1.401034850922553
one_shot_low_s0,9000050,433,12,352,4.709006928406467,1,1,560439.0000000054,467032.50000000687,93406.49999999849,992858.4427922551,904219.7990194005,88638.64377285459,48188.48423297841,45208.34479690396,2980.1394360744453,3875.5759547613334,3529.5792026940144,345.996752067319,3619.176167721164,3434.062500000005,185.1136677211589,1608980.6791477215,1423424.2855190055,185556.393628716,0.0,167068.2036357401,-167068.2036357401,0.0,0.0,0.0,1608980.6791477215,1590492.4891547456,18488.18999297591,197486.0938910524,267339.6721491518,-69853.57825809938,1806466.7730387738,1857832.1613038974,-51365.38826512359,1806466.7730387738,1690763.9576681573,115702.8153706165,0.0,167068.2036357401,-167068.2036357401,0.0,2088.352545446751,-2088.352545446751,117532.88837311802,110264.25560220488,7268.632770913144,15.369883256029523,16.84890675729323,-1.4790235012637059
