seed,method,comparison_scope,greedy_total_cost,method_total_cost,method_minus_greedy_total_cost,cost_improvement_vs_greedy_percent,greedy_stored_t,method_stored_t,method_minus_greedy_stored_t,greedy_vented_t,method_vented_t,method_minus_greedy_vented_t
9000049,rolling_milp,valid online paired comparison,1840479.7749794757,1874198.1505790306,33718.37559955497,-1.8320427128807208,102916.98012346955,100904.12579251276,-2012.8543309567904,2818.852119483664,2918.5525836490274,99.70046416536343
9000050,rolling_milp,valid online paired comparison,2332346.0574296084,2309098.2174299285,-23247.83999967994,0.9967577463740744,107365.83675950028,109876.14724879694,2510.3104892966658,7256.604464509676,7256.604464509676,0.0
9000051,rolling_milp,valid online paired comparison,1932977.2340705122,2062598.9039833313,129621.66991281905,-6.705804270641019,114284.41581241634,115666.92296239448,1382.507149978148,1396.2509259194253,3018.6033646635506,1622.3524387441253
9000052,rolling_milp,valid online paired comparison,2247524.9646282806,1773739.6461533632,-473785.31847491744,21.080313942287045,101775.7064201145,116490.31829226062,14714.611872146124,7573.8620977333,0.0,-7573.8620977333
9000053,rolling_milp,valid online paired comparison,1896455.7981864524,1901437.4781864525,4981.680000000168,-0.26268368631444305,102249.04279358484,102249.04279358484,0.0,3460.7449739942754,3460.7449739942763,9.094947017729282e-13
9000054,rolling_milp,valid online paired comparison,3352607.0985221015,2743967.0885134107,-608640.0100086909,18.15423018930527,89317.49155332484,96219.07106492396,6901.57951159912,21960.645513193453,11377.298664477883,-10583.34684871557
9000055,rolling_milp,valid online paired comparison,2379682.1687872596,2023126.2839932581,-356555.88479400147,14.983340610385397,100570.55815212545,102154.80222506462,1584.2440729391674,8271.021886458835,2939.824528323365,-5331.1973581354705
9000056,rolling_milp,valid online paired comparison,2271381.0938170906,1928589.6410331812,-342791.4527839094,15.091763056275294,100265.38290205119,104785.77509508055,4520.392193029358,6166.939933556223,1004.5342257430949,-5162.405707813128
9000057,rolling_milp,valid online paired comparison,2380858.3660164326,2600976.848755597,220118.4827391645,-9.245341339117912,100237.09981539742,94889.50370646002,-5347.596108937403,9915.636471484773,13025.770739791622,3110.1342683068488
9000058,rolling_milp,valid online paired comparison,2172908.6218546,2359117.3438523225,186208.72199772252,-8.569560639820715,101779.32948394625,99079.94210187419,-2699.387382072062,6512.717756608974,9178.917749732405,2666.1999931234313
9000059,rolling_milp,valid online paired comparison,2212831.2094909954,1834132.930825844,-378698.27866515145,17.11374446640515,99249.14674811273,115085.79645024004,15836.64970212731,7028.300603312616,1012.0214824219643,-6016.279120890651
9000060,rolling_milp,valid online paired comparison,2521676.157625502,2225062.8827922978,-296613.2748332042,11.76254428770527,93721.73756620959,101221.73756620967,7500.000000000087,11435.288831900807,6853.168262166312,-4582.120569734495
