horizon_hours,storage_target_rate,elapsed_hours,captured_t,stored_t,vented_t,in_transit_t,in_transit_growth_t,emitter_inventory_t,vessel_inventory_t,terminal_inventory_t,loss_rate,storage_rate,annual_storage_gap_t,vessel_fuel,conditioning,reconditioning,loading,unloading,operating_cost,vent_penalty,storage_shortfall_penalty,total_cost,net,cost_per_stored_t,total_cost_per_stored_t,vessel_sailing_hours,vessel_waiting_hours,vessel_loading_hours,vessel_unloading_hours,loaded_t,unloaded_t,throttle_hours,well_switch_count,berth_wait_vessel_hours,pressure_risk_hours,min_pressure_margin_fraction,longest_venting_streak_hours,total_reward,controller,seed,wall_clock_seconds,controller_decision_calls,simulator_step_calls,simulator_simulated_hours,simulator_hour_steps,episode_operating_cost,episode_total_cost,terminal_cleanup_operating_cost,terminal_cleanup_included,evaluation_role,online_comparable,run_status,error_type,error_message,executed_action_count
720.0,0.9,720.0,125444.62651394652,105778.5088564841,4000.7591781787564,25429.161118556698,15665.35847928386,11396.004287471696,14033.156831085002,0.0,0.03189263095086791,0.8432286961667823,7121.655006067769,548399.9400000061,930839.2864190845,43369.18863115846,3633.487112268872,3205.1250000000036,1765449.464924167,320060.7342543004,0.0,2085510.1991784673,-1849507.7614168185,16.690058160296584,19.71582150026336,1321.0000000000148,558.9585539611287,148.79144603885638,131.25000000000017,119033.15683108504,105000.0,299,24,23,0,0.6683336120607613,76,-1849.5077614168094,greedy,9000041,1.3982615871354938,720,720,720.0,720.0,1529447.0271625181,1849507.7614168185,236002.43776164885,True,online_controller,True,completed,,,720
720.0,0.9,720.0,122590.33961068436,84584.10356355288,15319.326463527254,30180.804362768733,22686.909583604283,15180.804362768733,15000.0,0.0,0.12496356982269179,0.6899736458204653,25747.202086063044,435481.8600000025,762450.0,34679.482461056614,2976.187500000002,2518.312500000003,1487648.0054710768,1225546.1170821812,0.0,2713194.122553258,-2463651.9595432403,17.587796557462145,32.076879794732115,1049.0000000000061,885.9999999999936,121.8750000000001,103.12500000000016,97499.99999999999,82500.00000000001,388,18,18,0,0.7911222548324633,253,-2463.651959543234,greedy,9000042,0.7459054477512836,720,720,720.0,720.0,1238105.842461059,2463651.9595432403,249542.1630100177,True,online_controller,True,completed,,,720
720.0,0.9,720.0,122999.51700733569,96818.52510115394,8100.662419000601,27703.718947908965,18080.32948718114,15000.0,8913.367803788336,3790.3511441206283,0.06585930267122495,0.7871455714365097,13881.040205448182,539266.8600000045,832152.5362256246,39695.59529147315,3248.26805221064,2976.187500000004,1663425.0023901663,648052.9935200483,0.0,2311477.9959102147,-2065392.4405893614,17.180854600421306,23.874335965097917,1299.000000000011,606.1082902452533,133.01670975473547,121.8750000000002,106413.3678037884,97500.0,355,17,25,0,0.8737572640988686,111,-2065.392440589351,greedy,9000043,0.6833653273060918,720,720,720.0,720.0,1417339.447069313,2065392.4405893614,246085.5553208533,True,online_controller,True,completed,,,720
720.0,0.9,720.0,129859.10158151455,115731.28342453578,0.0,23904.743190000743,14127.818156978656,11340.528514107189,12564.214675893552,0.0,0.0,0.8912065616893975,1141.9079988273152,521830.9800000049,978002.1587654875,47449.82620405974,3817.5851529816537,3434.062500000005,1749991.6922290896,0.0,0.0,1749991.6922290896,-1554534.6126225337,15.121163789479587,15.121163789479587,1257.0000000000118,606.0447316551208,156.3302683448671,140.62500000000023,125064.2146758935,112500.00000000001,300,20,36,0,0.9305194535462772,0,-1554.5346126225247,greedy,9000044,0.6290528941899538,720,720,720.0,720.0,1554534.6126225337,1554534.6126225337,195457.0796065558,True,online_controller,True,completed,,,720
720.0,0.9,720.0,125440.6630420947,99542.0035538456,8535.053965914734,25981.151942375793,17363.605522334445,11786.709850849698,10560.718267643457,3633.723823882638,0.06804056801780924,0.7935385634915038,13354.593184039637,469523.34000000684,888826.8168529716,40812.22145707662,3469.493425119818,3147.1275000000046,1673625.5871132507,682804.3172731792,0.0,2356429.90438643,-2088583.3165083542,16.81326000443552,23.67271925676841,1131.0000000000166,758.0491021654287,142.0758978345544,128.87500000000023,113660.71826764355,103100.00000000003,359,19,18,0,0.785153555788927,113,-2088.583316508349,greedy,9000045,0.9614300518296659,720,720,720.0,720.0,1405778.9992351749,2088583.3165083542,267846.58787807595,True,online_controller,True,completed,,,720
720.0,0.9,720.0,132406.07380064274,124463.61990029803,2082.7015861596574,20526.489262395968,5859.752314184912,9624.946301442664,10901.542960953306,0.0,0.015729652925858054,0.9400144293055372,0.0,510207.06000000477,1023650.0659546552,51030.084159122234,3995.7695988831024,3663.000000000005,1784670.5529580715,166616.12689277253,0.0,1951286.679850844,-1759162.1066054378,14.338893199375748,15.677566516335682,1229.0000000000116,617.3730712987964,163.6269287011918,150.00000000000023,130901.54296095332,120000.0,237,28,16,0,0.8718713734008281,27,-1759.1621066054327,greedy,9000046,0.8664640090428293,720,720,720.0,720.0,1592545.9797126653,1759162.1066054378,192124.57324540615,True,online_controller,True,completed,,,720
720.0,0.9,720.0,128277.74695956499,116042.59673840055,439.94129301342485,24544.461570605778,11795.208928151007,8539.40844795031,16005.053122655467,0.0,0.0034295994702191078,0.9046198540965867,0.0,550475.6400000058,1004909.5154191663,47577.4646627442,3922.616746569061,3434.062500000005,1796106.987766258,35195.30344107398,0.0,1831302.291207332,-1645514.6027695595,15.47799720317612,15.781293616995745,1326.000000000014,532.7436835966662,160.6313164033195,140.62500000000023,128505.05312265549,112500.0,277,24,19,0,0.7028382028971953,12,-1645.514602769551,greedy,9000047,1.4904041648842394,720,720,720.0,720.0,1610319.2993284855,1645514.6027695595,185787.68843777254,True,online_controller,True,completed,,,720
720.0,0.9,720.0,131010.22127700872,101407.28082094183,11503.626695217417,29137.050508005894,18099.313760849414,14137.050508005896,15000.0,0.0,0.08780709308851625,0.7740409857527507,16501.918328366024,496092.3000000053,879750.0000000005,41576.985136586154,3434.0625000000036,2976.1875000000036,1668039.00275075,920290.1356173938,0.0,2588329.1383681437,-2344119.6707539856,16.448907704132814,25.524095680451598,1195.0000000000127,702.4999999999868,140.62500000000017,121.87500000000017,112499.99999999999,97500.0,354,22,21,0,0.7801899062640291,65,-2344.1196707539816,greedy,9000048,1.004115004092455,720,720,720.0,720.0,1423829.535136592,2344119.6707539856,244209.46761415785,True,online_controller,True,completed,,,720
720.0,0.9,720.0,124881.7699196395,102916.98012346955,2818.852119483664,25442.609954559626,19145.93767668628,4399.665763118332,18973.52924132854,2069.4149501127567,0.022572166628464462,0.824115322754441,9476.612804206,476995.8600000061,935846.9986671886,42195.961850622494,3653.0344800915527,3073.867500000004,1614971.6054207825,225508.1695586931,0.0,1840479.7749794757,-1687273.8920566018,15.691983999951226,17.88314982397901,1149.0000000000148,735.5330884483243,149.59191155166067,125.87500000000018,119673.52924132848,100700.0,310,25,14,0,0.7155021956360088,48,-1687.2738920565962,greedy,9000049,1.1398657551035285,720,720,720.0,720.0,1461765.7224979086,1687273.8920566018,153205.8829228738,True,online_controller,True,completed,,,720
720.0,0.9,720.0,132171.66508378548,107365.83675950028,7256.604464509676,27237.459285825265,17549.22385977555,14866.12932977132,10786.802562311801,1584.5273937421434,0.0549028754378604,0.8123211332129285,11588.661815906657,485713.8000000049,924220.7960372785,44019.99307139512,3607.652148214576,3278.385000000004,1751817.7002688341,580528.3571607744,0.0,2332346.0574296084,-2041368.9834176674,16.316341893678057,21.723353795063034,1170.0000000000118,708.0164967970978,147.73350320289012,134.2500000000002,118186.80256231183,107400.00000000001,276,25,26,0,0.6325710024792056,102,-2041.3689834176625,greedy,9000050,1.467560533899814,720,720,720.0,720.0,1460840.6262568932,2041368.9834176674,290977.074011941,True,online_controller,True,completed,,,720
720.0,0.9,720.0,128981.17360926494,114284.41581241634,1396.2509259194253,26858.44853392846,13300.506870929312,10969.26946285012,6739.17907107834,9150.0,0.01082523043362299,0.8860550157391892,1798.640435922105,547154.5200000071,988413.1763783398,46856.61048309065,3858.224067640521,3652.5106264958554,1821277.1599969582,111700.07407355397,0.0,1932977.2340705122,-1701635.115629128,15.936356213137216,16.913742965998566,1318.0000000000173,534.4351067102048,157.9944335643129,149.57045972546504,126395.54685145016,119656.36778037187,198,19,33,0,0.5411898618254213,15,-1701.6351156291207,greedy,9000051,1.6774545097723603,720,720,720.0,720.0,1589935.041555574,1701635.115629128,231342.11844138431,True,online_controller,True,completed,,,720
720.0,0.9,720.0,130292.35070980627,101775.7064201145,7573.8620977333,32349.198951539212,20942.7821919586,13716.55739483442,17603.417812412554,1029.2237442922374,0.05812975248717547,0.7811333962865903,15487.409218711153,455408.58000000555,912620.7272930671,41728.03963224693,3562.3718287238994,3025.027500000004,1641615.9968096162,605908.9678186643,0.0,2247524.9646282806,-2022253.714072708,16.129743084595034,22.08311829692287,1097.0000000000134,793.2457277344704,145.87927226551597,123.87500000000018,116703.41781241255,99100.00000000003,360,19,15,0,0.8546920916949204,156,-2022.253714072701,greedy,9000052,0.8387119029648602,720,720,720.0,720.0,1416344.7462540437,2022253.714072708,225271.25055557245,True,online_controller,True,completed,,,720
720.0,0.9,720.0,119353.23535741051,102249.04279358484,3460.7449739942754,23901.52480155495,13643.447589831536,11289.019661155908,8058.299865012679,4554.2052753863645,0.02899582037831538,0.8566926777258603,5168.86902808462,474089.8800000057,875513.9049443998,41922.10754536975,3417.527103379516,3171.547500000004,1619596.2002669105,276859.5979195419,0.0,1896455.7981864524,-1674974.565012697,15.839719923212082,18.547418600435417,1142.0000000000139,748.1771251687198,139.94787483126603,129.8750000000002,111958.29986501268,103900.0,287,23,22,0,0.536687112112769,41,-1674.9745650126904,greedy,9000053,1.5039415652863681,720,720,720.0,720.0,1398114.967093155,1674974.565012697,221481.23317375555,True,online_controller,True,completed,,,720
720.0,0.9,720.0,132093.20107071442,89317.49155332484,21960.645513193453,33998.191415089634,20815.064004196112,16791.972827275935,8056.218587813694,9150.0,0.166251141884563,0.6761702406281294,29566.389410318137,462881.1000000046,821100.0000000002,36620.17153686314,3205.1250000000014,2959.20892760699,1595755.457466625,1756851.6410554764,0.0,3352607.0985221015,-3083617.246519951,17.866102481325484,37.535840295296566,1115.0000000000111,792.5702732347557,131.25000000000009,121.17972676523304,105000.00000000003,96943.78141218633,333,17,36,0,0.5154264564596519,156,-3083.617246519945,greedy,9000054,1.4021019763313234,720,720,720.0,720.0,1326765.6054644748,3083617.246519951,268989.85200215015,True,online_controller,True,completed,,,720
720.0,0.9,720.0,124998.78160566899,100570.55815212545,8271.021886458835,27806.323465008256,16157.201567084754,13319.995610640293,10200.0,4286.327854367963,0.06616882004939258,0.8045723075077105,11928.34529297665,562929.8400000044,879750.0000000008,41233.92884237136,3434.0625000000045,3122.707500000005,1718000.4178705523,661681.750916707,0.0,2379682.1687872596,-2152152.2897590837,17.082538363482715,23.661817260551494,1356.0000000000107,535.4999999999889,140.62500000000023,127.87500000000023,112499.99999999999,102300.0,291,23,24,0,0.6512083426189577,148,-2152.1522897590767,greedy,9000055,1.2794460491277277,720,720,720.0,720.0,1490470.5388423766,2152152.2897590837,227529.87902817575,True,online_controller,True,completed,,,720
720.0,0.9,720.0,126854.31280836993,100265.38290205119,6166.939933556223,31994.446679403984,20421.989972762454,13754.870851705347,18239.575827698638,0.0,0.048614349776756854,0.790397903566079,13903.498625481749,592404.780000005,905083.4829726038,41108.806989840996,3532.950552140504,2976.187500000004,1778025.899132593,493355.19468449784,0.0,2271381.0938170906,-2038461.402699088,17.73319811554042,22.653691913150052,1427.0000000000123,466.4505302153641,144.67446978462345,121.8750000000002,115739.57582769862,97499.99999999999,310,20,26,0,0.650912987571246,103,-2038.4614026990812,greedy,9000056,1.2688334877602756,720,720,720.0,720.0,1545106.2080145902,2038461.402699088,232919.69111800278,True,online_controller,True,completed,,,720
720.0,0.9,720.0,122972.65226763315,100237.09981539742,9915.636471484773,23187.747575189736,12819.915980750953,9239.872780352454,13222.411543044262,725.463251793019,0.08063285851479195,0.8151170033906815,10438.28722547242,479486.70000000624,865849.2582666061,41097.21092431297,3379.801612351435,2976.187500000004,1587607.4482976524,793250.9177187805,0.0,2380858.3660164326,-2186040.076022057,15.83852137802754,23.752267078767865,1155.000000000015,744.7219855711791,138.4030144288057,121.8750000000002,110722.4115430443,97500.00000000003,365,15,30,0,0.8829181437160843,79,-2186.04007602205,greedy,9000057,0.6499815019778907,720,720,720.0,720.0,1392789.1583032766,2186040.076022057,194818.28999437566,True,online_controller,True,completed,,,720
