seed,stage,time_limit_s,wall_time_s,status,objective_value,best_bound,relative_gap,termination_reason,warm_start_requested,warm_start_accepted,total_variables,initialized_variables,missing_variable_count,bound_violation_count,integrality_violation_count,total_constraints,evaluated_constraints,partial_constraint_count,violated_constraint_count,max_constraint_violation,top_violations
9000041,weighted,18000.0,18016.42924415879,Integer Feasible,2085510.1991774477,1608528.1131,0.22871242071392203,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000041,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243894,181218,62676,2,3.636861492850585e-05,"[{""constraint"": ""_C243688"", ""residual"": 3.636861492850585e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 3.636861492850585e-05}, {""constraint"": ""_C243690"", ""residual"": -3.840310455416329e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 3.840310455416329e-06}]"
9000042,weighted,18000.0,18016.68514755927,Integer Feasible,2713194.1225553956,-194285.52,1.071607673916459,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000042,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243842,181166,62676,2,4.4387126308720326e-05,"[{""constraint"": ""_C243638"", ""residual"": -4.4387126308720326e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 4.4387126308720326e-05}, {""constraint"": ""_C243636"", ""residual"": -1.838160642364528e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 1.838160642364528e-05}]"
9000043,weighted,18000.0,18017.60742779402,Integer Feasible,2311477.995910213,-194285.52,1.0840525068132842,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000043,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243862,181186,62676,0,0.0,[]
9000044,weighted,18000.0,18017.22092284495,Integer Feasible,1749991.6922295857,-194285.52,1.111020824191725,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000044,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243906,181230,62676,2,3.25942637573462e-05,"[{""constraint"": ""_C243701"", ""residual"": -3.25942637573462e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_720""], ""violation"": 3.25942637573462e-05}, {""constraint"": ""_C243700"", ""residual"": 1.8487074157746974e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_720""], ""violation"": 1.8487074157746974e-05}]"
9000045,weighted,18000.0,18017.289159899112,Integer Feasible,2356429.904399175,-194285.52,1.0824490979499504,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
9000045,mip_start_audit,,,,,,,,,,138343,103783,34560,0,0,243958,181282,62676,1,0.0004401721580507001,"[{""constraint"": ""_C243754"", ""residual"": -0.0004401721580507001, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_720""], ""violation"": 0.0004401721580507001}]"
9000046,weighted,18000.0,18017.834128927905,Integer Feasible,1951286.679854479,-193930.71913,1.0993860723450757,"Time limit exceeded, integer feasible",True,True,,,,,,,,,,,
