horizon_hours,storage_target_rate,elapsed_hours,captured_t,stored_t,vented_t,in_transit_t,in_transit_growth_t,emitter_inventory_t,vessel_inventory_t,terminal_inventory_t,loss_rate,storage_rate,annual_storage_gap_t,vessel_fuel,conditioning,reconditioning,loading,unloading,operating_cost,vent_penalty,storage_shortfall_penalty,total_cost,net,cost_per_stored_t,total_cost_per_stored_t,vessel_sailing_hours,vessel_waiting_hours,vessel_loading_hours,vessel_unloading_hours,loaded_t,unloaded_t,throttle_hours,well_switch_count,berth_wait_vessel_hours,pressure_risk_hours,min_pressure_margin_fraction,longest_venting_streak_hours,total_reward,controller,seed,wall_clock_seconds,controller_decision_calls,simulator_step_calls,simulator_simulated_hours,simulator_hour_steps,episode_operating_cost,episode_total_cost,terminal_cleanup_operating_cost,terminal_cleanup_included,evaluation_role,online_comparable,run_status,error_type,error_message,solver_replan_count,solver_status_counts,solver_failure_count,solver_timeout_count,solver_solve_wall_seconds,solver_time_limit_seconds_per_replan,solver_threads,solver_executable,warm_start_mode,shifted_warm_start,fallback_used,executed_action_count
720.0,0.9,720.0,125444.62651394652,105778.50885648398,3457.02806376707,25972.892232968377,16209.089593695538,11505.901417251,14466.990815717376,0.0,0.0275581996601722,0.8432286961667814,7121.655006067886,556287.6000000057,934231.8681789098,43369.18863115847,3646.729894649776,3205.125000000003,1774108.9667787899,276562.24510136555,0.0,2050671.2118801554,-1817302.756806089,16.771922633035313,19.38646360256811,1340.0000000000136,539.4162614803392,149.3337385196469,131.25000000000017,119466.99081571745,105000.00000000001,299,24,29,0,0.6683336120607613,76,-1817.3027568060813,rolling_milp,9000041,5595.3032639035955,720,41730,41730.0,41730.0,1540740.5117047236,1817302.756806089,233368.4550740662,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 17, ""Optimal"": 13}",0,17,5281.725190429017,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,122590.33961068436,104225.47584700742,922.702073528866,24936.05646931249,17442.16169014804,10405.814237600798,7767.323130542952,6762.9191011687435,0.007526711129597425,0.8501932222229006,6105.82980260851,491940.90000000614,912372.0255086006,42732.44509727301,3561.4010330754577,3324.3034945156323,1702078.1981229868,73816.16588230929,0.0,1775894.364005296,-1527747.24101578,16.330730891758822,17.038966237123557,1185.0000000000148,693.0301176252476,145.83951814395817,136.1303642307794,116671.61451516622,108904.29138462336,312,21,15,0,0.7909258411096289,18,-1527.747241015773,rolling_milp,9000042,7467.242474399041,720,41730,41730.0,41730.0,1453931.0751334708,1527747.24101578,248147.12298951598,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 22, ""Optimal"": 8}",0,22,7215.735364694148,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,122999.51700733569,95677.36939595955,7465.034832117044,29480.502239986963,19857.11277925914,9548.995390671893,15300.0,4631.506849315069,0.0606915784203594,0.7778678463449036,15022.195910642564,528058.0800000043,879749.9999999995,39227.721452343416,3434.0625000000014,2967.030000000005,1680318.942494376,597202.7865693641,0.0,2277521.7290637405,-2050639.6805217115,17.562344712263126,23.804184243802172,1272.0000000000102,625.8749999999894,140.62500000000009,121.50000000000024,112500.00000000007,97200.00000000001,359,17,55,0,0.8737686756559208,111,-2050.6396805217037,rolling_milp,9000043,7172.367617816199,720,41730,41730.0,41730.0,1453436.8939523473,2050639.6805217115,226882.04854202888,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 23, ""Optimal"": 7}",0,23,6982.814065907616,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,129859.10158151455,115731.28342453578,0.0,23904.743190000743,14127.818156978656,11340.528514107189,12564.214675893552,0.0,0.0,0.8912065616893975,1141.9079988273152,521830.9800000049,978002.1587654875,47449.82620405974,3817.5851529816537,3434.062500000005,1749991.6922290896,0.0,0.0,1749991.6922290896,-1554534.6126225337,15.121163789479587,15.121163789479587,1257.0000000000118,606.0447316551208,156.3302683448671,140.62500000000023,125064.2146758935,112500.00000000001,300,20,36,0,0.9305194535462772,0,-1554.5346126225247,rolling_milp,9000044,6284.599635777995,720,41730,41730.0,41730.0,1554534.6126225337,1554534.6126225337,195457.0796065558,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 20, ""Optimal"": 10}",0,20,6102.36303578224,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,125440.6630420947,99542.0035538456,8535.053965914734,25981.151942375793,17363.605522334445,11786.709850849698,10560.718267643457,3633.723823882637,0.06804056801780924,0.7935385634915038,13354.593184039637,469108.2000000069,888826.8168529716,40812.221457076615,3469.493425119818,3147.1275000000046,1673210.4471132508,682804.3172731792,0.0,2356014.76438643,-2088168.176508354,16.809089503690323,23.668548756023206,1130.0000000000166,759.0491021654287,142.0758978345544,128.87500000000023,113660.71826764355,103100.00000000003,359,19,14,0,0.785153555788927,113,-2088.1681765083495,rolling_milp,9000045,6863.906349077821,720,41730,41730.0,41730.0,1405363.859235175,2088168.176508354,267846.58787807595,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 21, ""Optimal"": 9}",0,21,6620.923709277529,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,132406.07380064274,124463.61990029803,2082.7015861596574,20526.489262395968,5859.752314184912,9624.946301442664,10901.542960953306,0.0,0.015729652925858054,0.9400144293055372,0.0,510207.06000000477,1023650.0659546552,51030.084159122234,3995.7695988831024,3663.000000000005,1784670.5529580715,166616.12689277253,0.0,1951286.679850844,-1759162.1066054378,14.338893199375748,15.677566516335682,1229.0000000000116,617.3730712987964,163.6269287011918,150.00000000000023,130901.54296095332,120000.0,237,28,16,0,0.8718713734008281,27,-1759.1621066054327,rolling_milp,9000046,7696.508245612029,720,41730,41730.0,41730.0,1592545.9797126653,1759162.1066054378,192124.57324540615,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 24, ""Optimal"": 6}",0,24,7472.292365288828,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,128277.74695956499,109244.79226332756,7528.0800174482165,24254.127321243854,11504.874678789083,11862.338186821085,5600.0,6791.789134422767,0.05868578296609136,0.8516269957388877,6205.180000280932,500243.70000000385,923494.960036117,44790.3648279643,3604.8188817266573,3433.8788817266595,1697070.295196897,602246.4013958575,0.0,2299316.696592754,-2077814.1240233956,15.53456471505038,21.04738037352297,1205.0000000000093,666.7650383516157,147.61748082418748,140.61748082418757,118093.98465934988,112493.98465934988,306,21,26,0,0.7029061809419466,172,-2077.81412402339,rolling_milp,9000047,7062.17263771221,720,41730,41730.0,41730.0,1475567.7226275383,2077814.1240233956,221502.57256935857,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 22, ""Optimal"": 8}",0,22,6747.195796743967,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,131010.22127700872,101407.28082094183,11503.626695217417,29137.050508005894,18099.313760849414,14137.050508005896,15000.0,0.0,0.08780709308851625,0.7740409857527507,16501.918328366024,496092.3000000053,879750.0000000005,41576.985136586154,3434.0625000000036,2976.1875000000036,1668039.00275075,920290.1356173938,0.0,2588329.1383681437,-2344119.6707539856,16.448907704132814,25.524095680451598,1195.0000000000127,702.4999999999868,140.62500000000017,121.87500000000017,112499.99999999999,97500.0,354,22,21,0,0.7801899062640291,65,-2344.119670753982,rolling_milp,9000048,6609.906241397839,720,41730,41730.0,41730.0,1423829.535136592,2344119.6707539856,244209.46761415785,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 20, ""Optimal"": 10}",0,20,6357.6482353545725,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,124881.7699196395,102567.65771655962,4081.868344309106,24528.91613664408,18232.243858770733,7500.0,13892.448060691018,3136.4680759530606,0.03268586237155158,0.8213180977700841,9825.935211115924,468277.9200000053,901725.5980566386,42052.73966378942,3519.843207247945,3095.776230195355,1575855.2147509535,326549.46754472854,0.0,1902404.682295682,-1745221.3447026052,15.364055783605268,18.54780273478486,1128.0000000000127,761.0901131267972,144.13772347452687,126.77216339866321,115310.17877962142,101417.7307189304,309,21,18,0,0.715505688860079,74,-1745.2213447026004,rolling_milp,9000049,6872.52531029284,720,41730,41730.0,41730.0,1418671.8771578767,1745221.3447026052,157183.33759307663,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 21, ""Optimal"": 9}",0,21,6598.153155290056,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
720.0,0.9,720.0,132171.66508378548,109876.14724879694,7256.604464509676,24727.148796528643,15038.913370478927,10535.788219274351,12600.0,1591.3605772542917,0.0549028754378604,0.8313139369103424,9078.35132660999,503979.96000000485,958084.0635213645,45049.22037200675,3739.8358106124947,3355.220810612492,1728569.860269154,580528.3571607744,0.0,2309098.2174299285,-2094736.6576753752,15.731984634982553,21.015464004224185,1214.0000000000118,655.4571408179658,153.14642959101127,137.39642959101118,122517.14367280879,109917.14367280879,264,25,27,0,0.6325458993743132,102,-2094.7366576753707,rolling_milp,9000050,6477.286629127804,720,41730,41730.0,41730.0,1514208.300514601,2094736.6576753752,214361.55975455305,True,online_controller,True,completed,,,30,"{""Integer Feasible"": 19, ""Optimal"": 11}",0,19,6152.950346921105,300.0,4,/scratch_root/hx721/software/CPLEX_Studio2220/cplex/bin/x86-64_linux/cplex,greedy,False,False,720
