seed,decisions,simulated_hours,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,operating_cost_eur,vented_t,stored_t,captured_t,storage_rate,loss_rate,cost_per_stored_t_eur,unit_total_cost_eur_per_t
9000051,720,720.0,823637.7600000103,437138.0,15242.999693138217,1706.3474999999999,1019.5349999999992,1278744.6421931484,4422713.533648981,0.0,5701458.175842129,450691.86599734204,6152150.041839471,1729436.5081904903,55283.91917061224,37178.04803204444,128981.17360926494,0.2882439893489532,0.42862006619732834,165.47802715561667,165.47802715561667
9000052,720,720.0,821977.200000009,374578.0,14147.021367406765,1462.1475000000007,940.1699999999995,1213104.5388674156,5142132.411028194,0.0,6355236.94989561,429984.80570166407,6785221.755597274,1643089.3445690796,64276.65513785247,34504.9301644068,130292.35070980627,0.264826983137774,0.49332639090235386,196.64499314351602,196.64499314351602
9000053,720,720.0,804126.1800000094,488132.7154090625,19115.967682410603,1905.4029588058372,1334.5854588058355,1314614.851509094,3513952.5103963106,0.0,4828567.361905404,362632.6888577085,5191200.0507631125,1677247.5403668024,43924.406379953885,46624.31142051368,119353.23535741051,0.39064137039012264,0.36802024049385496,111.34105561243952,111.34105561243952
9000054,720,720.0,826543.7400000104,332350.0,14338.062542284477,1297.3125,1068.3749999999993,1175597.4900422948,5758159.5445488235,0.0,6933757.034591118,412307.11875841126,7346064.153349529,1587904.608800706,71976.99430686032,34970.88424947431,132093.2010707144,0.2647440138175855,0.5448955262150726,210.06229356239277,210.06229356239277
9000055,720,720.0,829449.7200000103,365976.0,13553.323262662294,1428.5700000000006,931.0124999999995,1211338.6257626729,4985136.5962452395,0.0,6196475.222007913,379490.2584142409,6575965.480422153,1590828.8841769136,62314.20745306551,33056.8860064934,124998.78160566899,0.26445766576171326,0.49851851876162134,198.92876416521597,198.92876416521597
9000056,720,720.0,810353.2800000103,417688.11573454423,16942.395954929816,1630.4257970328608,1303.80829703286,1247918.0257835502,4207415.465656093,0.0,5455333.491439643,436202.7707341474,5891536.2621737905,1684120.7965176976,52592.69332070119,41322.91696324353,126854.31280836991,0.32575098196044167,0.41459129103595677,142.57309733033304,142.57309733033304
9000057,720,720.0,814504.6800000096,461387.2340952331,21018.03013875597,1801.0032379484658,1459.1232379484647,1300170.0707098956,3683626.432044671,0.0,4983796.502754566,401363.71873290645,5385160.221487473,1701533.789442802,46045.330400558436,51263.48814330746,122972.65226763315,0.41686901272763877,0.3744355314086182,105.0486499559534,105.0486499559534
9000058,720,720.0,811183.5600000094,451996.0,14574.24340331571,1764.3450000000014,1077.5324999999993,1280595.680903325,3933591.4098954843,0.0,5214187.090798809,407439.2107494572,5621626.301548267,1688034.8916527822,49169.892623693544,35546.935130038364,126103.88537882672,0.2818861212979471,0.38991576251582605,158.14658228573415,158.14658228573415
9000059,720,720.0,814919.8200000101,428536.0,14083.150166726195,1672.7700000000011,995.1149999999992,1260206.8551667363,4022629.3942156527,0.0,5282836.249382389,439817.1497889113,5722653.3991713,1700024.0049556475,50282.867427695724,34349.14674811274,125978.9416694392,0.2726578449773196,0.39913708403452697,166.60249062768125,166.60249062768125
9000060,720,720.0,821146.9200000097,456452.8874859908,16355.585531206823,1781.7422494258162,1104.087249425814,1296841.2225160587,3480540.4860140565,0.0,4777381.708530115,455924.5700673302,5233306.278597445,1752765.792583389,43506.75607517566,39891.672027333785,126857.6135473692,0.3144602118219578,0.34295739024705874,131.18794005454527,131.18794005454527
