seed,decisions,simulated_hours,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,operating_cost_eur,vented_t,stored_t,captured_t,storage_rate,loss_rate,cost_per_stored_t_eur,unit_total_cost_eur_per_t
9000043,720,720.0,4690141.219441557,363340.74172398937,5053481.961165546,1680315.268163635,42164.583662523866,51439.69709173874,122999.51700733569,0.4182105616615623,0.3428028392990289,98.24089656191114,98.24089656191114
9000044,720,720.0,6080337.133954996,419763.27608273656,6500100.410037733,1640761.9672868052,60741.73053438672,32631.283424536054,129859.10158151455,0.25128222070790235,0.46775104551495916,199.19842947857177,199.19842947857177
9000045,720,720.0,4839154.821288028,367466.0189736423,5206620.84026167,1681712.2937388874,44061.35683153476,53298.377476185604,125440.6630420947,0.42488915622440565,0.35125258240024515,97.688167760605,97.688167760605
9000046,720,720.0,5265820.431973137,380146.8013412246,5645967.233314361,1709473.9533316903,49206.16599978339,62290.17331592486,132406.07380064274,0.4704480053514168,0.371630731033311,90.63977402469251,90.63977402469251
9000047,720,720.0,5689980.8241740735,294448.5322915843,5984429.356465658,1588707.6693515987,54946.52108892577,50898.76112196217,128277.74695956499,0.3967855869654945,0.4283402413221813,117.57514769614801,117.57514769614801
9000048,720,720.0,6145281.951091435,381555.7496022513,6526837.7006936865,1629953.3772388473,61211.05404318554,44807.280820941916,131010.22127700872,0.34201362599183127,0.46722349940742836,145.6646683554872,145.6646683554872
9000049,720,720.0,4565482.8895021295,410818.3790083037,4976301.268510433,1686829.480988482,41118.39734402443,46786.39507358237,124881.7699196395,0.3746455155439346,0.32925860492275066,106.36214353946387,106.36214353946387
9000050,720,720.0,5043506.170332009,383737.229532566,5427243.399864575,1739484.6036170528,46096.98495309402,53759.934603569454,132171.66508378548,0.40674326505223546,0.34876601519601413,100.95331104633127,100.95331104633127
9000051,720,720.0,4520180.285448727,421383.87664966687,4941564.162098394,1811049.9868093221,39131.427191113406,59127.98265630891,128981.17360926495,0.4584233574694473,0.3033886736808427,83.5740361855747,83.5740361855747
9000052,720,720.0,5355553.237355901,373324.503987764,5728877.741343665,1671670.695149701,50715.08807742459,49817.2589315302,130292.35070980628,0.3823498360428366,0.38924071751825096,114.99785143172058,114.99785143172058
9000053,720,720.0,4670139.72297963,416210.92497817834,5086350.647957808,1683349.5128703061,42537.51418859379,44998.001336863126,119353.23535741051,0.37701534610363835,0.3564001768465901,113.03503482033508,113.03503482033508
9000054,720,720.0,7138351.194419925,409058.3981325278,7547409.592552453,1558140.9335045654,74865.85823809862,31740.40944397126,132093.20107071442,0.24028798747165978,0.5667654173814755,237.7855145780421,237.7855145780421
9000055,720,720.0,4529303.520492931,374587.3027059375,4903890.823198868,1759609.2245364499,39303.51998328026,60326.963507876324,124998.78160566899,0.482620412238805,0.3144312246760152,81.28854061349554,81.28854061349554
9000056,720,720.0,4848851.396420948,429960.2408860212,5278811.63730697,1761911.6231780166,43961.2501766119,51223.59993151607,126854.31280836991,0.40379864742080973,0.3465491176718693,103.05428834296168,103.05428834296168
9000057,720,720.0,5011540.524662843,399220.42860712373,5410760.953269967,1678195.7019646817,46657.06564131608,41962.56306719065,122972.65226763315,0.3412349192555827,0.37941009469140635,128.94257542386606,128.94257542386606
9000058,720,720.0,4392976.580631471,420677.87054092693,4813654.451172398,1741623.3462266568,38400.388811821766,45296.49501599386,126103.88537882672,0.359199836546823,0.30451392275871403,106.26991005535268,106.26991005535268
9000059,720,720.0,4670391.7678758325,388298.9030449476,5058690.67092078,1698058.3392774193,42007.90414554192,55313.291901599594,125978.9416694392,0.43906776139410814,0.3334517943147039,91.45524515011714,91.45524515011714
9000060,720,720.0,5615669.136097008,412126.0514282695,6027795.187525278,1636359.9482858544,54892.940490492714,37087.73698189651,126857.6135473692,0.29235720225848155,0.4327130154470031,162.52798574546628,162.52798574546628
