seed,decisions,mean_decision_interval_h,selected_interventions,selected_intervention_rate,feasible_intervention_decisions,changed_decisions,effective_intervention_rate,changed_native_steps,local_avoided_vent_t,local_incremental_stored_t,local_total_cost_saving_eur,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000041,97,7.422680412371134,10,0.10309278350515463,10,10,0.10309278350515463,36,724.0699849713274,1809.1510434316879,-48126.44166149176,-0.048126441661491784,125444.62651394652,92327.98571023344,16032.998133248697,0.7360059037679761,581196.0000000079,833216.9089963206,37854.474141195686,3252.422780960706,2794.547780960705,1458314.3536994457,1282639.8506598952,0.0,258437.43643500036,1716751.790134446,2740954.204359341,2999391.6407943415,32.486267492153196,0,2.4384160642512143
9000042,94,7.659574468085107,8,0.0851063829787234,8,8,0.0851063829787234,23,-878.3088766279989,2387.767318389364,-124423.32731983141,-0.12442332731983138,122590.33961068436,96750.10850194952,6229.352181708629,0.7892147848615412,565420.680000004,835666.8300493074,39667.54448579931,3261.9859318740605,3033.048431874062,1447050.0888988588,498348.17453669035,0.0,239259.92784482264,1686310.0167436814,1945398.263435549,2184658.1912803715,22.580421098301407,0,2.0481062196195126
9000043,105,6.857142857142857,13,0.12380952380952381,13,13,0.12380952380952381,37,4503.550042302686,15851.576688970876,186363.78482082713,0.1863637848208271,122999.51700733569,98509.67598488416,8098.045180480686,0.8008948196033082,623540.2800000058,795291.8771843073,40388.96715380248,3104.3842136893854,3006.7042136893906,1465332.2127654944,647843.6144384551,0.0,313108.26928003895,1778440.4820455334,2113175.8272039494,2426284.096483988,24.62990637443869,0,1.527574815787375
9000044,113,6.371681415929204,12,0.10619469026548672,12,12,0.10619469026548672,35,10265.03330795775,9155.08584692348,589135.200228774,0.5891352002287743,129859.10158151455,109722.90097909575,5304.66645803712,0.8449380878414672,574553.7600000041,883303.1900475092,44986.389401429355,3447.932209232769,3250.6566258529483,1509541.9282840283,424373.3166429698,0.0,322671.0691084873,1832212.9973925157,1933915.2449269982,2256586.3140354855,20.566229054273794,0,1.166084191761911
9000045,101,7.128712871287129,8,0.07920792079207921,8,8,0.07920792079207921,17,7157.912381340187,2525.675485955886,421125.3010586763,0.42112530105867624,125440.6630420947,98574.82727679293,2472.1340694947517,0.7858283341799119,520585.5600000036,879750.0000000003,40415.679183485125,3434.062500000002,3285.9887744189564,1447471.2904579083,197770.7255595802,0.0,304651.7886755549,1752123.079133463,1645242.0160174884,1949893.8046930432,19.780849315797877,0,2.2150104460306466
9000046,122,5.901639344262295,15,0.12295081967213115,15,15,0.12295081967213115,42,8947.682968001083,7006.5665156609175,531201.7105563908,0.5312017105563909,132406.07380064274,115686.20333279116,2917.355051658512,0.8737227833443211,595725.9000000044,952995.3969626434,47431.3433664444,3719.9724414686334,3442.1949414686355,1603314.8077120292,233388.40413268094,0.0,271163.21162949665,1874478.0193415259,1836703.2118447102,2107866.4234742066,18.22055148106614,0,1.6777461948804557
9000047,98,7.346938775510204,5,0.05102040816326531,5,5,0.05102040816326531,16,7499.999999999998,6240.23540617511,502530.22500184935,0.5025302250018493,128277.74695956499,106495.30084225598,3926.1280436671777,0.8301931033745459,502319.4000000052,893294.7342247413,43663.07334532494,3486.9337291828956,3421.9350427701947,1446186.0763420246,314090.24349337426,0.0,300674.9027660815,1746860.979108106,1760276.3198353988,2060951.2226014803,19.3525085736339,0,2.6755597251467407
9000048,97,7.422680412371134,8,0.08247422680412371,8,8,0.08247422680412371,30,5766.151981358013,4107.1467021529825,330041.56412415166,0.3300415641241514,131010.22127700872,95567.16363424274,12973.009102286793,0.7294634166915497,585762.5400000046,827385.0781205613,39182.537090039565,3229.6585050677945,2845.043505067796,1458404.857220741,1037840.7281829432,0.0,275912.8825249988,1734317.7397457398,2496245.585403684,2772158.467928683,29.007436890544994,0,2.05725294072181
9000049,94,7.659574468085107,2,0.02127659574468085,2,2,0.02127659574468085,2,0.0,1.4551915228366852e-11,-45665.39999999991,-0.04566539999999994,124881.76991963951,99413.69630834636,6164.783698207362,0.7960625187512824,483638.1000000049,826787.1999891549,40759.615486421986,3227.324716070199,2903.7608701911763,1357316.0010618435,493182.69585658854,0.0,249841.0383441723,1607157.0394060158,1850498.6969184321,2100339.7352626044,21.127267300755907,0,2.3456903542391956
9000050,104,6.923076923076923,7,0.0673076923076923,7,7,0.0673076923076923,10,2617.1162967025066,834.1772770574316,63128.66166563326,0.06312866166563327,132171.66508378548,101372.02342402237,13609.04050982791,0.7669724321000361,589913.9400000058,842059.4639678529,41562.52960384915,3286.9392759103253,3058.0017759103266,1479880.8746235287,1088723.2407862328,0.0,293993.66076847573,1773874.5353920045,2568604.1154097617,2862597.7761782375,28.23853840032832,0,2.8823215630836785
9000051,104,6.923076923076923,9,0.08653846153846154,9,9,0.08653846153846154,31,3345.9697375399282,3181.4674309734546,164795.63660943712,0.16479563660943708,128981.17360926494,106801.31031486811,10189.312188716465,0.8280379789256034,596141.0400000071,885977.1809246145,43788.53722909583,3458.3700061027967,3229.432506102798,1532594.5606659232,815144.9750973171,0.0,259368.58874835432,1791963.1494142774,2347739.5357632404,2607108.124511595,24.410825268205084,0,3.199476665817201
9000052,101,7.128712871287129,7,0.06930693069306931,7,7,0.06930693069306931,23,3942.9062131817454,7785.388127853876,175635.54449478892,0.1756355444947889,130292.35070980627,108990.31829226068,7760.511599230812,0.836505886174465,543003.1200000056,879750.0000000005,44686.030499826855,3434.0625000000005,3229.545000000004,1474102.757999833,620840.927938465,0.0,285110.8984600586,1759213.6564598917,2094943.685938298,2380054.5843983567,21.83730281451396,0,1.7935282648541033
9000053,85,8.470588235294118,7,0.08235294117647059,7,7,0.08235294117647059,23,3250.6847948757595,2301.165600578999,151320.61342112185,0.15132061342112182,119353.23535741051,99394.18448945088,2026.6918031812181,0.8327732733160434,540097.140000004,871859.1228081516,40751.6156406749,3403.2608342351496,2945.3858342351486,1459056.5251173011,162135.34425449747,0.0,231794.50169100822,1690851.0268083094,1621191.8693717986,1852986.3710628068,18.642804713181906,0,3.0715352189727128
9000054,99,7.2727272727272725,11,0.1111111111111111,11,11,0.1111111111111111,55,-262.7614825244891,-272.0569258052419,-66998.59000450786,-0.06699859000450784,132093.20107071442,94821.8529009365,18237.87997140454,0.7178405257222499,551305.9200000068,878853.1067123269,38876.959689383955,3430.5615194876923,2847.925807742837,1475314.4737289483,1459030.3977123634,0.0,232258.9189835982,1707573.3927125465,2934344.8714413117,3166603.79042491,33.39529542555095,0,3.063539450056851
9000055,121,5.950413223140496,11,0.09090909090909091,11,11,0.09090909090909091,47,13911.693778394536,7933.274517001701,889241.4135795666,0.8892414135795668,124998.78160566899,100214.89935798077,4215.918562811979,0.8017270094209925,613576.9200000039,834250.7618884889,41088.10873677212,3256.45837680897,3256.4583768089688,1495428.707378883,337273.48502495844,0.0,320124.3349020399,1815553.0422809229,1832702.1924038413,2152826.527305881,21.48210037726728,0,2.733366494998336
9000056,110,6.545454545454546,11,0.1,11,11,0.1,30,14970.205000741671,20055.685091996886,969712.6819007429,0.9697126819007427,126854.31280836993,106120.27247998804,1114.5663386556678,0.8365523420579056,596556.1800000066,915501.3027966282,43509.311716795106,3573.6160189088364,3237.841018908838,1562378.2515512477,89165.3070924534,0.0,297390.56967622077,1859768.8212274686,1651543.558643701,1948934.128319922,18.365332869715804,0,2.7764693191275
9000057,96,7.5,7,0.07291666666666667,7,7,0.07291666666666667,19,2304.7267938487275,7500.000000000015,77674.99842320598,0.07767499842320597,122972.65226763315,107175.37235904485,3825.828114635474,0.8715382679214914,587838.2400000066,875002.2817060094,43941.90266720839,3415.5300062756924,3165.8335036338585,1513363.787883134,306066.2491708379,0.0,231010.40599153112,1744374.1938746653,1819430.037053972,2050440.4430455032,19.131638154485593,0,1.5552303669974208
9000058,89,8.089887640449438,1,0.011235955056179775,1,1,0.011235955056179775,1,0.0,0.0,-23247.840000000782,-0.02324784000000079,126103.88537882672,98524.152333236,5196.144816324869,0.7812935504505759,480732.1200000053,881575.562460837,40394.90245662675,3441.1884966901653,3011.1972636833493,1409154.9706778426,415691.5853059895,0.0,251161.16272643194,1660316.1334042745,1824846.555983832,2076007.718710264,21.071053843616237,0,2.2117252540774643
9000059,100,7.2,5,0.05,5,5,0.05,17,7313.948340253315,913.7403195332445,435220.45582629327,0.4352204558262934,125978.9416694392,99648.79461159653,1740.7064973388567,0.790995648090684,545909.1000000053,924424.4963698527,40856.00579075455,3608.4472828247735,2988.3867510328487,1517786.43619447,139256.51978710853,0.0,276254.03214182594,1794040.4683362958,1657042.9559815784,1933296.9881234043,19.401107616593475,0,2.4743937379680574
9000060,97,7.422680412371134,10,0.10309278350515463,10,10,0.10309278350515463,39,2534.920556275647,4488.273028682437,122826.61142494125,0.12282661142494122,126857.6135473692,93721.73756620967,11841.427537658528,0.7387947395937222,562929.8400000044,836726.5603234041,38425.912402145936,3266.1225388583002,2747.250000000003,1444095.685264413,947314.2030126834,0.0,215849.08948911724,1659944.7747535303,2391409.8882770967,2607258.977766214,27.81914895596464,0,1.8472323399037123
