#{"t_start": 1785272198.5962398, "env_id": "None"}
r,l,t
-7.243927,720,4303.966399
-7.181157,720,4312.154278
-7.814821,720,4320.40974
-8.135385,720,4328.592959
-7.152974,720,4335.356303
-8.41182,720,4343.743742
-8.635925,720,4351.982742
-7.630281,720,4360.193908
-7.112577,720,4368.307821
-7.076505,720,4376.529181
-7.274158,720,4383.436521
-7.807281,720,4391.690521
-8.158312,720,4399.865771
-7.94367,720,4407.973341
-7.603594,720,4416.04915
-7.592835,720,4422.749751
-7.352131,720,4431.1223
-7.252336,720,4439.259708
-6.785232,720,4447.418064
-7.237957,720,4455.623035
-8.044702,720,4462.57978
-6.438174,720,4470.928091
-6.780793,720,4479.106931
-7.183703,720,4487.335653
-6.771606,720,4495.722242
-6.61125,720,4504.332914
-5.593202,720,4511.624286
-6.504139,720,4519.974557
-5.88637,720,4528.456803
-5.92453,720,4536.905398
-6.529363,720,4545.741414
-5.577507,720,4552.961735
-5.684667,720,4561.412186
-6.015581,720,4570.004925
-5.813766,720,4578.444561
-6.012604,720,4587.178453
-6.375707,720,4594.573506
-6.222624,720,4602.939224
-6.542089,720,4611.228654
-6.609469,720,4619.651213
-7.495992,720,4627.922972
-6.654169,720,4636.107301
-6.90602,720,4643.058901
-7.264938,720,4651.290337
-7.0453,720,4659.928921
-6.627625,720,4668.292104
-5.526081,720,4676.518778
-6.683166,720,4683.605537
-7.460681,720,4691.990451
-7.260939,720,4700.28565
-5.007257,720,4708.63727
-6.571664,720,4717.204072
-6.235496,720,4724.282557
-7.221962,720,4732.607949
-6.068274,720,4740.949365
-5.624781,720,4749.513997
-5.962076,720,4758.204018
-6.809204,720,4767.095561
-7.545391,720,4774.387422
-7.296301,720,4782.81682
-6.485985,720,4791.362355
-6.900692,720,4799.843376
-6.931163,720,4808.561641
-7.05971,720,4815.732122
-6.618636,720,4824.32641
-6.627735,720,4832.859492
-6.424481,720,4841.251822
-7.388792,720,4849.683278
-6.951203,720,4856.620509
-7.18753,720,4865.077265
-5.529474,720,4873.600349
-5.764204,720,4882.293001
-5.792894,720,4890.865236
-5.174359,720,4899.798112
-6.026456,720,4907.161952
-5.852441,720,4915.979765
-5.185215,720,4924.703784
-5.675206,720,4933.663998
-6.060577,720,4942.278956
-7.027639,720,4949.486473
-5.905716,720,4958.128644
-5.762435,720,4966.624841
-6.345082,720,4975.290608
-7.187122,720,4983.796908
-5.089091,720,4991.044867
-7.045566,720,5000.244716
-7.720097,720,5008.544981
-7.548261,720,5016.78637
-7.605568,720,5025.207955
-6.61475,720,5033.55364
-7.433659,720,5040.619393
-7.77303,720,5048.959015
-6.664366,720,5057.283344
-7.120811,720,5065.479629
-6.326915,720,5073.783804
-7.016552,720,5080.764911
-7.900344,720,5088.853982
-7.973327,720,5097.059726
-8.494514,720,5105.268584
-7.592063,720,5113.653594
-8.00191,720,5120.50145
-7.861862,720,5129.153813
-8.482263,720,5137.481268
-8.430067,720,5145.788411
-7.58718,720,5154.127223
-6.506338,720,5162.456455
-7.473469,720,5169.595061
-8.121222,720,5177.936651
-5.822853,720,5186.378914
-7.902412,720,5194.782122
-7.164903,720,5203.45808
-7.209995,720,5210.335554
-7.257928,720,5218.526859
-8.530295,720,5226.825458
-7.167486,720,5235.085283
-7.553173,720,5243.445467
-7.981169,720,5250.251442
-8.397043,720,5258.619342
-8.087335,720,5267.134319
-8.380693,720,5275.729057
-7.230921,720,5284.071701
-7.24935,720,5292.30861
-7.304838,720,5299.12323
-7.599931,720,5307.463066
-7.951198,720,5315.713139
-7.959946,720,5323.882421
-7.016986,720,5332.20716
-6.769621,720,5339.297131
-7.453433,720,5347.737578
-7.883021,720,5356.239715
-7.270598,720,5364.392576
-7.329951,720,5372.635874
-8.03471,720,5379.560906
-7.261415,720,5387.75279
-6.254618,720,5396.296912
-6.989453,720,5404.639353
-7.014935,720,5412.862863
-5.97079,720,5421.187752
-8.209371,720,5428.045798
-6.382618,720,5436.277503
-7.286215,720,5444.459844
-7.882444,720,5452.807173
-7.780195,720,5461.255247
-7.856336,720,5468.131093
-7.323509,720,5476.30083
-7.598336,720,5484.357235
-7.235003,720,5492.494308
-6.398631,720,5500.81491
-8.292892,720,5507.489669
-7.573176,720,5515.587039
-6.570314,720,5523.649858
-7.870767,720,5531.708291
-8.398227,720,5539.987406
-6.660473,720,5584.762455
-7.81933,720,5591.467921
-6.956092,720,5599.660018
-7.73965,720,5607.866277
-8.361276,720,5616.101647
-6.023709,720,5624.305155
-7.340958,720,5631.583882
-6.911766,720,5639.68997
-7.342672,720,5647.84375
-7.520196,720,5656.129111
-8.14229,720,5664.451495
-7.261011,720,5671.180259
-8.012403,720,5679.661936
-7.832875,720,5687.82547
-7.912476,720,5696.020565
-7.018866,720,5704.496023
-6.489402,720,5712.713214
-8.041849,720,5719.444005
-8.503445,720,5727.534051
-7.833436,720,5735.661294
-8.79885,720,5743.738009
-8.194432,720,5752.175703
-7.200076,720,5759.067853
-7.509969,720,5767.196445
-8.595689,720,5775.458565
-7.602162,720,5783.798212
-7.498711,720,5792.223493
-7.421765,720,5799.06751
-6.082068,720,5807.251756
-7.933919,720,5815.798527
-7.2657,720,5823.939276
-7.910106,720,5832.154922
-7.885074,720,5840.355561
-7.121864,720,5847.111141
-8.999636,720,5855.273736
-7.116659,720,5863.371863
-7.763782,720,5871.594197
-8.062074,720,5879.675469
-7.292992,720,5886.356853
-7.647266,720,5894.624818
-6.678581,720,5902.805544
-8.404637,720,5911.010116
-8.812228,720,5919.578894
-6.645289,720,5926.866769
-7.4062,720,5935.116501
-7.904278,720,5943.56256
-8.312496,720,5951.774392
-7.979806,720,5959.903008
-6.565889,720,5968.401273
-7.236713,720,5975.284999
-7.40137,720,5983.412533
-7.513105,720,5991.62159
-7.270746,720,5999.732131
-7.6319,720,6008.026886
-7.544419,720,6014.795839
-7.43346,720,6022.850007
-7.474927,720,6031.011856
-7.138155,720,6039.10379
-7.138254,720,6047.308786
-8.690402,720,6054.078417
-6.419869,720,6062.310068
-7.425683,720,6070.532028
-6.635767,720,6079.165434
-6.629726,720,6087.374641
-5.770922,720,6095.674004
-6.831014,720,6102.604007
-7.582455,720,6110.910318
-8.137875,720,6119.095517
-7.586532,720,6127.207721
-8.586255,720,6135.336207
-8.143469,720,6142.1443
-8.274738,720,6150.329178
-7.409438,720,6158.513093
-8.189614,720,6166.625642
-8.214454,720,6174.789013
-7.744874,720,6181.823814
-8.097728,720,6190.065281
-7.061153,720,6198.328705
-7.026696,720,6206.740119
-7.603072,720,6215.132487
-8.439861,720,6223.26569
-7.527606,720,6229.954878
-7.131113,720,6238.27118
-7.843812,720,6246.602825
-8.149312,720,6254.727787
-7.211607,720,6262.925092
-6.596744,720,6269.798395
-7.731361,720,6278.064561
-7.749407,720,6286.269422
-8.006495,720,6294.577427
-6.620708,720,6303.314513
-6.604429,720,6310.303029
-7.767415,720,6318.701721
-8.097564,720,6327.025783
-7.674546,720,6335.629108
-7.902511,720,6343.875133
-7.101009,720,6352.201472
-6.591066,720,6359.089041
-6.924833,720,6367.248093
-7.797637,720,6375.500313
-7.430833,720,6383.641816
-7.567197,720,6391.790675
-7.492255,720,6398.476076
-7.898159,720,6406.579681
-7.999141,720,6414.955565
-7.403705,720,6423.110499
-7.873988,720,6431.371422
-6.009926,720,6438.093697
-8.174323,720,6446.282994
-7.278912,720,6454.341714
-9.484817,720,6462.46944
-6.628328,720,6470.670019
-6.008696,720,6478.846434
-7.367948,720,6485.681923
-6.999246,720,6493.805873
-5.726471,720,6501.946949
-6.931853,720,6510.339818
-6.705153,720,6518.711048
-7.394985,720,6525.406932
-8.364157,720,6533.699863
-8.12019,720,6541.787705
-7.700547,720,6549.873459
-7.748999,720,6557.984608
-8.518826,720,6564.723254
-8.166558,720,6572.742007
-8.140107,720,6580.818347
-7.570698,720,6588.852435
-7.529508,720,6597.254054
-8.237786,720,6605.394355
-8.225873,720,6612.140706
-7.394407,720,6620.176652
-7.58185,720,6628.236339
-8.479581,720,6636.304071
-9.528627,720,6644.519517
-7.006218,720,6651.513692
-7.156075,720,6659.663954
-8.07655,720,6667.801993
-7.681299,720,6676.144806
-7.778017,720,6684.370878
-8.09951,720,6691.322983
-7.786921,720,6699.420406
-7.963766,720,6707.536659
-8.341955,720,6715.685471
-8.091813,720,6724.014714
-7.411873,720,6732.130116
-7.71289,720,6738.827653
-7.277777,720,6747.039294
-8.53303,720,6755.186099
-8.403124,720,6763.544821
-7.823074,720,6771.710396
-7.121099,720,6778.663237
-6.747696,720,6786.860377
-7.488676,720,6795.055093
-8.080451,720,6803.216167
-6.052833,720,6811.427738
-6.777279,720,6818.255898
-7.116558,720,6826.448431
-7.646188,720,6834.5927
-8.004152,720,6842.723759
-6.997396,720,6850.895899
-8.567664,720,6859.101397
-6.191882,720,6866.148053
-7.152092,720,6874.333212
-7.29766,720,6882.513446
-7.583745,720,6890.671408
-8.405172,720,6935.504044
-7.107092,720,6942.271652
-7.264545,720,6950.373629
-7.212805,720,6958.467887
-7.924701,720,6966.579736
-5.802338,720,6974.754888
-7.060822,720,6981.757514
-6.251296,720,6990.242778
-8.257801,720,6998.44871
-8.068864,720,7006.807438
-7.041142,720,7014.981327
-8.175164,720,7023.216928
-8.179994,720,7030.162377
-7.261046,720,7038.480174
-7.144435,720,7046.739342
-6.77649,720,7054.895463
-6.038155,720,7063.032913
-9.532109,720,7069.934279
-8.53454,720,7078.08353
-7.378049,720,7086.340764
-7.10931,720,7094.514287
-8.525988,720,7102.687957
-8.400146,720,7109.485162
-8.161581,720,7117.65119
-7.868111,720,7125.928654
-8.092079,720,7134.172153
-7.981454,720,7142.371943
-6.99806,720,7150.652058
-7.809613,720,7157.470358
-8.692446,720,7165.686803
-7.762764,720,7173.895434
-7.935545,720,7182.004438
-7.636874,720,7190.284245
-7.259865,720,7197.077223
-7.774524,720,7205.767394
-7.594346,720,7213.924171
-7.717707,720,7222.070067
-8.468123,720,7230.171051
-8.084645,720,7237.053566
-8.116974,720,7245.242078
-7.676017,720,7253.374061
-8.127968,720,7261.519982
-6.796982,720,7269.907094
-7.461652,720,7278.108861
-7.37411,720,7284.94937
-7.501727,720,7293.276867
-6.993091,720,7301.618414
-6.981869,720,7310.101359
-7.677593,720,7318.474544
-8.052905,720,7325.166944
-7.451825,720,7333.291648
-7.079549,720,7341.353673
-8.104794,720,7349.483227
-7.233301,720,7357.834094
-8.412366,720,7364.639194
-8.184547,720,7372.951774
-7.006707,720,7381.001737
-8.264625,720,7389.036144
-8.810691,720,7397.214766
-6.630716,720,7405.636801
-7.574594,720,7412.399652
-7.540199,720,7420.484326
-7.237154,720,7428.762939
-8.138352,720,7437.015136
-8.327922,720,7445.111892
-7.650534,720,7451.876155
-7.481469,720,7460.026864
-8.556241,720,7468.136696
-8.589819,720,7476.488399
-7.741671,720,7484.700766
-7.759038,720,7491.620038
-8.898496,720,7500.030979
-7.993711,720,7508.369812
-7.701967,720,7516.564934
-6.802108,720,7524.710397
-6.401016,720,7533.076321
-7.060244,720,7539.910024
-7.397878,720,7548.176168
-6.890716,720,7556.603853
-7.903482,720,7564.903097
-6.850651,720,7573.263876
-6.860002,720,7580.213431
-7.384297,720,7588.799916
-7.830585,720,7597.065584
-7.212664,720,7605.55191
-5.386047,720,7613.815408
-5.69854,720,7620.71326
-6.266127,720,7629.220801
-7.876964,720,7637.471536
-8.194468,720,7645.690681
-7.538114,720,7653.829296
-7.245048,720,7661.94077
-7.270317,720,7668.657569
-6.322774,720,7676.769658
-8.785544,720,7684.976696
-7.42389,720,7693.037837
-7.748105,720,7701.211241
-7.998012,720,7707.913268
-6.949442,720,7716.030699
-7.811445,720,7724.448462
-6.987323,720,7732.739582
-6.778519,720,7741.183967
-8.236471,720,7748.059932
-6.954082,720,7756.504172
-8.06143,720,7764.776306
-7.227619,720,7772.988635
-7.042411,720,7781.186196
-7.357199,720,7789.3902
-6.751332,720,7796.177653
-7.360156,720,7804.423733
-7.167128,720,7812.703279
-7.693367,720,7820.842633
-6.977909,720,7829.168422
-7.396234,720,7836.176694
-6.377548,720,7844.405963
-7.511654,720,7852.809239
-7.098551,720,7861.043086
-7.184016,720,7869.31039
-6.896289,720,7876.131263
-7.090913,720,7884.431518
-7.710296,720,7892.679149
-8.012573,720,7901.026227
-7.951889,720,7909.225356
-7.585231,720,7917.456008
-7.670883,720,7924.420579
-7.330049,720,7932.568902
-7.987493,720,7940.971214
-7.389796,720,7949.285743
-7.856203,720,7957.507183
-7.230004,720,7964.245642
-8.725658,720,7972.384145
-8.258206,720,7980.472116
-8.054315,720,7988.648041
-7.982658,720,7997.077058
-7.12774,720,8003.913426
-7.881759,720,8012.529734
-8.211098,720,8020.883587
-9.079715,720,8030.005855
-6.887923,720,8038.967915
-6.80452,720,8047.407871
-8.272025,720,8056.239528
-6.725929,720,8066.002282
-7.846564,720,8074.558816
-6.905137,720,8083.019206
-7.488557,720,8091.584807
-7.73041,720,8098.695483
-7.905461,720,8107.175155
-8.9199,720,8115.541884
-8.835032,720,8123.733723
-8.1672,720,8132.14589
-6.986301,720,8139.203593
-8.128695,720,8147.389851
-7.825109,720,8155.62093
-8.094148,720,8163.86456
-7.601865,720,8172.163286
-7.662857,720,8180.618145
-8.62389,720,8187.29465
-7.516712,720,8195.421805
-6.772632,720,8203.650998
-7.785176,720,8211.714032
-7.852243,720,8219.866735
-7.859639,720,8226.647909
-5.573087,720,8234.966228
-7.388428,720,8243.29176
-8.371571,720,8251.558833
-7.51727,720,8296.687932
-8.181066,720,8303.499753
-7.056643,720,8311.733609
-8.531949,720,8320.055491
-7.720264,720,8328.294197
-7.706899,720,8336.520437
-6.935128,720,8344.83486
-7.726266,720,8351.58675
-8.069615,720,8359.945703
-8.362524,720,8368.078355
-7.324597,720,8376.236085
