algorithm,algorithm_display_name,method_class,model_seed,test_seed,episode_hours,decision_count,mean_decision_interval_h,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,total_cost_eur,captured_t,stored_t,vented_t,storage_rate,loss_rate,unit_total_cost_eur_per_t,greedy_total_cost_eur,delta_total_cost_vs_greedy_eur,paired_outcome_vs_greedy,hard_violations,override_events,proposed_override_events,selected_interventions,effective_intervention_rate,solver_replan_count,solver_failure_count,solver_timeout_count,fallback_used,wall_clock_seconds,source_file
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000042,720,99,7.2727272727272725,543833.4000000044,885588.0473889725,41379.514326464334,3456.851041758112,3017.1380431501757,1477274.9508003495,128472.69055118464,0,1605747.641351534,261067.88758534082,1738342.8383856902,1866815.5289368748,122590.33961068436,100925.64469869348,1605.9086318898082,0.8232756758746862,0.013099797561453573,18.496939350847086,2713194.122553258,-846378.5936163834,win,0,,,5,0.050505050505050504,,,,,2.110330304130912,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000043,720,120,6,684565.8600000083,878589.6818166525,38815.858958513796,3429.533252871273,2889.240752871273,1608290.1747809171,811474.5185890858,0,2419764.693370003,201348.14716814415,1809638.3219490612,2621112.840538147,122999.51700733569,94672.82672808242,10143.431482363567,0.7697008007148202,0.08246724645072072,27.686010137486015,2311477.9959102147,309634.8446279322,loss,0,,,17,0.14166666666666666,,,,,1.3732035011053085,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000044,720,103,6.990291262135922,525567.2400000038,876125.6779537175,44307.80420419068,3419.9151303756057,3200.135130375609,1452620.7724186631,536353.154187368,0,1988973.9266060311,300319.0245713619,1752939.796990025,2289292.951177393,129859.10158151455,108067.8151321722,6704.4144273421,0.8321928445218479,0.05162837525973207,21.183855233655613,1749991.6922290896,539301.2589483035,loss,0,,,9,0.08737864077669903,,,,,1.1250348431058228,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000045,720,98,7.346938775510204,503564.8200000052,907279.9676630422,43081.04822486859,3541.524426203885,3205.125000000004,1460672.4853141198,170403.71606679427,0,1631076.201380914,262736.2193704684,1723408.7046845881,1893812.4207513826,125440.6630420947,105075.72737772821,2130.0464508349282,0.8376528378398914,0.01698051014064027,18.02331012131346,2356429.90438643,-462617.48363504745,win,0,,,7,0.07142857142857142,,,,,2.2237938418984413,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000046,720,112,6.428571428571429,562099.560000007,932269.252289626,46481.89302839011,3639.068916386304,3410.1314163863062,1547899.9056507957,491379.7801893402,0,2039279.685840136,283649.91121153365,1831549.8168623294,2322929.5970516694,132406.07380064274,113370.47080095152,6142.247252366754,0.856233158696691,0.04638946746215609,20.48972347596684,1951286.679850844,371642.9172008254,loss,0,,,9,0.08035714285714286,,,,,1.7016993346624076,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000047,720,105,6.857142857142857,550060.500000005,891423.5349780729,44484.093103697596,3479.62959145853,3321.544115987676,1492769.3017892214,417173.67229658697,0,1909942.9740858083,286582.8640412513,1779352.1658304727,2196525.8381270594,128277.74695956499,108497.78805779899,5214.670903707337,0.845803661425384,0.04065140702347288,20.244890494513356,1831302.291207332,365223.54691972747,loss,0,,,10,0.09523809523809523,,,,,2.688538550864905,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000048,720,112,6.428571428571429,579535.4400000079,859505.0103658416,41644.450453513724,3355.037140846206,3122.8210050677962,1487162.758965277,1025590.088674893,0,2512752.8476401703,268351.33408673975,1755514.0930520168,2781104.18172691,131010.22127700872,101571.83037442378,12819.876108436163,0.7752969912145996,0.09785401462172748,27.380664220334893,2588329.1383681437,192775.04335876647,loss,0,,,9,0.08035714285714286,,,,,2.18031858606264,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000049,720,106,6.7924528301886795,528473.220000003,881544.7028407397,43834.61548642199,3441.0680376232194,3132.698370191177,1460426.3047349795,39820.94269478988,0,1500247.2474297695,238551.41671549148,1698977.721450471,1738798.664145261,124881.76991963951,106913.69630834638,497.7617836848734,0.8561193229175447,0.003985864261894906,16.26357262151378,1840479.7749794757,-101681.1108342146,win,0,,,5,0.04716981132075472,,,,,2.4377486133016646,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000050,720,119,6.050420168067227,604443.840000006,925081.7669461666,45530.406502604776,3611.012907420942,3403.1261331255787,1582070.1524893239,289031.84610347345,0,1871101.9985927972,301666.99962933204,1883737.1521186559,2172768.9982221294,132171.66508378548,111049.77195757283,3612.8980762934175,0.8401934853977727,0.027334891135729813,19.56572228759054,2332346.0574296084,-159577.059207479,win,0,,,13,0.1092436974789916,,,,,3.1109777679666877,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,9000051,720,120,6,660902.880000007,832584.6466080573,39051.135896373904,3249.9547746433404,2792.079774643345,1538580.697053725,814075.6530830777,0,2352656.3501368025,329879.0348941516,1868459.7319478765,2682535.385030954,128981.17360926494,95246.67291798517,10175.945663538458,0.7384540724255236,0.07889481370642065,28.164084926523646,1932977.2340705122,749558.1509604419,loss,0,,,15,0.125,,,,,3.127695052884519,formal_ppo_event_residual_seeds_9000031-9000060_run01/ppo_event_residual/model_seed_0/results.csv
