seed,decisions,mean_decision_interval_h,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000047,178,4.044943820224719,-2.329890904363075,128277.74695956499,107124.97841286559,5239.2938585329775,0.8351018080059742,652184.9400000073,938399.9999999999,43921.241149274945,3663.000000000004,3434.0625000000036,1641603.243649282,419143.50868263806,0.0,269144.1520311553,1910747.3956804373,2060746.75233192,2329890.9043630753,21.749277702381857,0,1.4927256060764194
9000048,180,4.0,-2.3116671648914897,131010.22127700872,108907.2808209419,4941.9303731144955,0.8312884274171842,679169.0400000084,928955.3182768548,44651.98513658617,3626.133131764836,3205.125000000004,1659607.6015452142,395354.4298491595,0.0,256705.1334971161,1916312.7350423303,2054962.0313943736,2311667.16489149,21.226011222263267,0,1.3571469616144896
9000049,216,3.3333333333333335,-1.8920782401979357,124881.76991963951,106297.77169240497,336.95892788139264,0.8511872610454416,684981.0000000079,872900.0371309001,43582.08639388599,3407.323994043572,3205.125000000004,1608075.5725188376,26956.71423051141,0.0,257045.9534485867,1865121.5259674243,1635032.286749349,1892078.2401979356,17.79979213179617,0,1.4710191986523569
9000050,179,4.022346368715084,-2.092518917739471,132171.66508378548,112378.89979324843,2019.0724732101617,0.8502495578156624,654675.7800000091,992753.1592,46075.34891523188,3875.1649852404116,3434.0625000000055,1700813.5156004815,161525.7978568129,0.0,230179.60428217676,1930993.1198826584,1862339.3134572944,2092518.9177394712,18.620211815467396,0,1.7021469711326063
9000051,154,4.675324675324675,-1.951168446234449,128981.17360926494,122614.19562112987,0.0,0.9506363773102021,649694.1000000073,1001196.007511762,50271.82020466327,3908.1212441555713,3663.0000000000055,1708733.0489605882,0.0,0.0,242435.39727386102,1951168.4462344493,1708733.0489605882,1951168.4462344493,15.913071372775113,0,2.010510054882616
9000052,182,3.956043956043956,-2.462074645869235,130292.35070980627,110407.70287899612,6988.065781388737,0.8473843804146396,668375.4000000092,951933.4500046278,45267.15818038841,3715.8271817635928,3351.6450000000045,1672643.480366789,559045.2625110988,0.0,230385.90299134958,1903029.3833581386,2231688.7428778876,2462074.6458692374,22.299844862886108,0,1.1209881049580872
9000053,212,3.3962264150943398,-2.0310451062104975,119353.23535741051,99591.80237630247,2315.6470193406803,0.8344290129887872,694529.2200000082,852379.9999999998,40832.63897428402,3327.2250000000017,3205.125000000004,1594274.2089742923,185251.76154725446,0.0,251519.13568895037,1845793.3446632426,1779525.9705215467,2031045.106210497,20.393697651301643,0,1.699242799077183
9000054,173,4.161849710982659,-2.6553428490779427,132093.2010707144,104539.91851042147,8948.82802814287,0.7914102895762014,666714.8400000075,969680.0000000008,42861.366589272744,3785.100000000003,3205.125000000004,1686246.4315892812,715906.2422514294,0.0,253190.17523723256,1939436.6068265138,2402152.6738407104,2655342.849077943,25.400276630340347,0,1.842578589450568
9000055,196,3.673469387755102,-2.9478074685331217,124998.78160566899,90884.40146060749,14555.323633285303,0.727082298668467,677923.6200000079,821100.0000000005,37262.604598849044,3205.1250000000027,2967.0300000000034,1542458.3795988576,1164425.8906628247,0.0,240923.19827143915,1783381.5778702968,2706884.2702616826,2947807.4685331215,32.43469089479348,0,1.4761921293102205
9000056,173,4.161849710982659,-2.286309766830801,126854.31280836993,107489.79637075293,5170.963183306518,0.847348379342296,687471.8400000078,903135.1112198917,44070.816512008634,3525.3451751901844,3205.1250000000045,1641408.2379070984,413677.05466452165,0.0,231224.47425918048,1872632.7121662789,2055085.29257162,2286309.7668308006,21.270016727400613,0,1.5112919323146343
9000057,187,3.8502673796791442,-1.8960697860675144,122972.65226763315,108462.5630671906,0.0,0.8820055603187014,662978.5800000067,928244.5676464761,44469.65085754811,3623.3587503080166,3205.125000000005,1642521.2822543387,0.0,0.0,253548.50381317604,1896069.7860675147,1642521.2822543387,1896069.7860675147,17.481329340271387,0,0.9590256959199905
9000058,209,3.444976076555024,-2.075437777909407,126103.88537882672,97746.93513003839,1662.5524153711372,0.7751302415179226,689962.6800000079,938399.9999999998,40076.24340331567,3663.0000000000027,2976.187500000003,1675078.1109033234,133004.19322969095,0.0,267355.4737763936,1942433.584679717,1808082.3041330143,2075437.7779094079,21.232765765477282,0,1.2053317748941481
9000059,191,3.769633507853403,-1.9409024129414354,125978.9416694392,106749.14674811265,0.0,0.8473570688362796,692868.6600000085,980605.9771425719,43767.150166726184,3827.749034818034,3205.125000000004,1724274.6613441247,0.0,0.0,216627.75159731114,1940902.4129414358,1724274.6613441247,1940902.4129414358,18.181900952531514,0,1.4100613282062113
9000060,199,3.6180904522613067,-2.5144311487274273,126857.6135473692,101221.73756620956,8775.413197185533,0.7979161418515327,687056.7000000075,898517.9999999999,41500.912402145965,3507.3225000000034,2976.187500000004,1633559.1224021534,702033.0557748431,0.0,178838.97055043126,1812398.0929525846,2335592.1781769963,2514431.1487274277,24.840821835158952,0,1.088404049165547
