seed,decisions,mean_decision_interval_h,selected_interventions,selected_intervention_rate,feasible_intervention_decisions,changed_decisions,effective_intervention_rate,changed_native_steps,local_avoided_vent_t,local_incremental_stored_t,local_total_cost_saving_eur,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000047,105,6.857142857142857,10,0.09523809523809523,10,10,0.09523809523809523,22,6211.45713995984,8242.722621718116,366955.6094762701,0.36695560947627004,128277.74695956499,108497.78805779899,5214.670903707337,0.845803661425384,550060.500000005,891423.5349780729,44484.093103697596,3479.62959145853,3321.544115987676,1492769.3017892214,417173.67229658697,0.0,286582.8640412513,1779352.1658304727,1909942.9740858083,2196525.8381270594,20.244890494513356,0,2.688538550864905
9000048,112,6.428571428571429,9,0.08035714285714286,9,9,0.08035714285714286,30,5919.284975208642,10111.813442334023,321095.8503259245,0.32109585032592447,131010.22127700872,101571.83037442378,12819.876108436163,0.7752969912145996,579535.4400000079,859505.0103658416,41644.450453513724,3355.037140846206,3122.8210050677962,1487162.758965277,1025590.088674893,0.0,268351.33408673975,1755514.0930520168,2512752.8476401703,2781104.18172691,27.380664220334893,0,2.18031858606264
9000049,106,6.7924528301886795,5,0.04716981132075472,5,5,0.04716981132075472,14,5667.021914522489,7500.000000000029,315875.6711173436,0.3158756711173435,124881.76991963951,106913.69630834638,497.7617836848734,0.8561193229175447,528473.220000003,881544.7028407397,43834.61548642199,3441.0680376232194,3132.698370191177,1460426.3047349795,39820.94269478988,0.0,238551.41671549148,1698977.721450471,1500247.2474297695,1738798.664145261,16.26357262151378,0,2.4377486133016646
9000050,119,6.050420168067227,13,0.1092436974789916,13,13,0.1092436974789916,31,12613.258730237,10511.925810607892,752957.4396217414,0.7529574396217413,132171.66508378548,111049.77195757283,3612.8980762934175,0.8401934853977727,604443.840000006,925081.7669461666,45530.406502604776,3611.012907420942,3403.1261331255787,1582070.1524893239,289031.84610347345,0.0,301666.99962933204,1883737.1521186559,1871101.9985927972,2172768.9982221294,19.56572228759054,0,3.1109777679666877
9000051,120,6.0,15,0.125,15,15,0.125,53,3359.3362627179376,-8373.169965909488,89368.37609007774,0.08936837609007774,128981.17360926494,95246.67291798517,10175.945663538458,0.7384540724255236,660902.880000007,832584.6466080573,39051.135896373904,3249.9547746433404,2792.079774643345,1538580.697053725,814075.6530830777,0.0,329879.0348941516,1868459.7319478765,2352656.3501368025,2682535.385030954,28.164084926523646,0,3.127695052884519
9000052,109,6.605504587155964,11,0.10091743119266056,11,11,0.10091743119266056,41,10166.059062955315,7029.351784222337,619815.6010430777,0.6198156010430775,130292.35070980627,108234.28194862914,1537.3587494572423,0.8307032712127055,532209.4800000067,938400.0000000005,44376.05559893795,3663.0000000000005,3434.0625000000045,1522082.598098945,122988.69995657944,0.0,290803.2297945434,1812885.8278934886,1645071.2980555245,1935874.527850068,17.88596452987867,0,1.858495560940355
9000053,89,8.089887640449438,4,0.0449438202247191,4,4,0.0449438202247191,22,5277.376598056978,7171.422794952421,335675.71460082085,0.33567571460082085,119353.23535741051,104264.4416838243,0.0,0.8735786790496136,502319.40000000567,838741.4541212403,42748.42109036802,3273.987581464312,3174.32333423515,1390257.5861273133,0.0,0.0,278373.6837557945,1668631.2698831079,1390257.5861273133,1668631.2698831079,16.003838345417247,0,3.144007593858987
9000054,94,7.659574468085107,6,0.06382978723404255,6,6,0.06382978723404255,9,-2232.560769018106,-7488.725711606719,-249349.6885604705,-0.24934968856047057,132093.20107071442,87605.18411513502,20207.67925789816,0.6632073672606109,564175.260000006,841201.8552861862,35918.12548720539,3283.591640998822,2643.4083077428368,1447222.2407221391,1616614.3406318512,0.0,285118.30762688216,1732340.5483490212,3063836.5813539904,3348954.8889808725,38.227816342232806,0,3.106398830190301
9000055,109,6.605504587155964,10,0.09174311926605505,10,10,0.09174311926605505,27,13217.388487291862,12249.076200939671,817866.2301646733,0.8178662301646732,124998.78160566899,104530.70104191874,4910.223853914651,0.8362537594300682,619388.8800000073,907889.6737870713,42857.587427186685,3543.904385211046,3179.883690122771,1576859.9292895992,392817.9083131718,0.0,254523.87311800363,1831383.8024076028,1969677.837602771,2224201.7107207747,21.277975643048915,0,2.7461612769402564
9000056,112,6.428571428571429,13,0.11607142857142858,13,13,0.11607142857142858,39,15375.722446397162,18772.57336529129,1004188.7321389129,1.0041887321389122,126854.31280836993,104837.16075328244,709.0488930001774,0.8264374969391283,584101.9800000046,953037.3027966279,42983.23590884585,3720.136018908836,3115.741018908838,1586958.395743296,56723.91144001419,0.0,270775.77089844155,1857734.1666417376,1643682.3071833102,1914458.0780817517,18.261254543006213,0,2.748901595827192
