case_id,time_h,captured_t,stored_t,vented_t,emitter_inventory_t,vessel_inventory_t,terminal_inventory_t,reservoir_inventory_t,system_mass_balance_error_t,mean_capture_multiplier,minimum_speed_factor,available_well_fraction
formal_medium_720h,514.0,89897.82004866209,73488.58111762907,2413.949452495982,7005.668807188533,15000.0,4075.342465753426,4506613.415645389,4.637695383280516e-08,1.0555296606213547,1.0,1.0
formal_medium_720h,515.0,90092.5643298011,73773.96924548295,2413.949452495982,7200.413088327535,15000.0,3789.954337899545,4506898.803773243,4.659523256123066e-08,0.9636428868211713,1.0,1.0
formal_medium_720h,516.0,90277.80091625295,74059.35737333682,2413.949452495982,7385.649674779383,15000.0,3504.566210045664,4507184.191901097,4.720641300082207e-08,1.1440712032291935,1.0,1.0
formal_medium_720h,517.0,90463.11450558288,74344.7455011907,2413.949452495982,7570.9632641093185,15000.0,3219.178082191783,4507469.580028951,4.71045495942235e-08,0.8619609310837877,1.0,1.0
formal_medium_720h,518.0,90628.46387775548,74630.13362904458,2413.949452495982,7736.312636281911,14200.0,3733.7899543379017,4507754.968156805,4.72355168312788e-08,0.9846496389168259,1.0,1.0
formal_medium_720h,519.0,90789.4726658518,74915.52175689845,2413.949452495982,7897.321424378237,13400.0,4248.401826484021,4508040.356284659,4.7628418542444706e-08,1.0311144013586866,1.0,1.0
formal_medium_720h,520.0,90965.97819453523,75200.90988475233,2413.949452495982,8073.826953061664,12600.0,4763.0136986301395,4508325.744412513,4.797766450792551e-08,0.998121395063325,1.0,1.0
formal_medium_720h,521.0,91156.57584744631,75486.2980126062,2413.949452495982,8264.424605972745,11800.0,5277.625570776258,4508611.132540368,4.810863174498081e-08,0.9484980644080894,1.0,1.0
formal_medium_720h,522.0,91335.51132578727,75771.68614046008,2413.949452495982,8443.360084313706,11000.0,5792.237442922377,4508896.520668222,4.797766450792551e-08,0.7642747562294203,1.0,1.0
formal_medium_720h,523.0,91457.27533292519,76057.07426831395,2413.949452495982,8565.124091451627,10200.0,6306.849315068496,4509181.908796076,4.815228749066591e-08,1.1054631596636504,1.0,1.0
formal_medium_720h,524.0,91639.17944673153,76342.46239616783,2413.949452495982,8747.028205257973,9400.0,6821.461187214615,4509467.29692393,4.858884494751692e-08,1.2286547593276769,1.0,1.0
formal_medium_720h,525.0,91809.86390971734,76627.8505240217,2413.949452495982,8917.712668243785,8600.0,7336.073059360734,4509752.685051784,4.873436409980059e-08,0.7419454628656451,1.0,1.0
formal_medium_720h,526.0,91938.15443186139,76913.23865187558,2413.949452495982,9046.003190387833,7800.0,7850.684931506853,4510038.073179638,4.886533133685589e-08,1.236648771228324,1.0,1.0
formal_medium_720h,527.0,92145.90922978213,77198.62677972946,2413.949452495982,9253.757988308573,7500.0,7865.296803652972,4510323.461307492,4.963658284395933e-08,1.1176196999389822,1.0,1.0
formal_medium_720h,528.0,92334.33476899701,77484.01490758333,2413.949452495982,9442.183527523444,7500.0,7579.908675799091,4510608.849435346,4.9854861572384834e-08,0.9726070516998354,1.0,1.0
formal_medium_720h,529.0,92486.63189181533,77769.40303543721,2413.949452495982,9594.480650341768,7500.0,7294.52054794521,4510894.2375632,4.99567249789834e-08,0.8354180351537478,1.0,1.0
formal_medium_720h,530.0,92654.90482659987,78054.79116329108,2413.949452495982,9762.75358512631,7500.0,7009.132420091329,4511179.625691054,4.959292709827423e-08,1.1539083772392782,1.0,1.0
formal_medium_720h,531.0,92860.30027970506,78340.17929114496,2413.949452495982,9968.149038231491,7500.0,6723.744292237448,4511465.0138189085,5.0087692216038704e-08,1.3601233747650998,1.0,1.0
formal_medium_720h,532.0,93087.60797663023,78625.56741899883,2413.949452495982,10195.45673515667,7500.0,6438.3561643835665,4511750.401946763,5.039328243583441e-08,1.2433595406412048,1.0,1.0
formal_medium_720h,533.0,93329.80375948608,78910.95554685271,2413.949452495982,10437.652518012517,7500.0,6152.968036529685,4512035.790074617,5.062611307948828e-08,1.1645531630998052,1.0,1.0
