contrast,left,right,deterministic,metric,mean_difference,ci95_lower,ci95_upper
future_effect_small,small_fixed,small_original,True,cost_per_stored_t,0.2386852077385111,-0.05713684637914562,0.5345072618561678
future_effect_large,large_fixed,large_original,True,cost_per_stored_t,0.14260968088372222,-0.057157067782152376,0.3423764295495968
future_effect_edge,edge_fixed,edge_original,True,cost_per_stored_t,-0.2560753435778039,-1.1324269199600816,0.6202762328044736
capacity_effect_original,large_original,small_original,True,cost_per_stored_t,0.40692501671847586,0.1447305076620896,0.6691195257748621
capacity_effect_fixed,large_fixed,small_fixed,True,cost_per_stored_t,0.310849489863687,-0.017551943517176982,0.6392509232445509
graph_effect_original,edge_original,large_original,True,cost_per_stored_t,0.823796014243209,0.02655806856271059,1.6210339599237074
graph_effect_fixed,edge_fixed,large_fixed,True,cost_per_stored_t,0.4251109897816828,0.02963605671924896,0.8205859228441167
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),True,cost_per_stored_t,-0.3986850244615262,-1.4546742537994648,0.6573042048764123
future_effect_small,small_fixed,small_original,True,total_cost_per_stored_t,1.0456658500449492,-0.2851750375519373,2.3765067376418356
future_effect_large,large_fixed,large_original,True,total_cost_per_stored_t,0.7816669895747843,-1.7093141614113203,3.272648140560889
future_effect_edge,edge_fixed,edge_original,True,total_cost_per_stored_t,-2.5561792890835404,-10.447472819706263,5.335114241539183
capacity_effect_original,large_original,small_original,True,total_cost_per_stored_t,2.406452405690563,0.5943105957443735,4.218594215636752
capacity_effect_fixed,large_fixed,small_fixed,True,total_cost_per_stored_t,2.1424535452203983,-0.1104235558381439,4.395330646278941
graph_effect_original,edge_original,large_original,True,total_cost_per_stored_t,4.623415203501748,-2.441489318977511,11.688319725981007
graph_effect_fixed,edge_fixed,large_fixed,True,total_cost_per_stored_t,1.2855689248434232,-2.5530281710083016,5.124166020695148
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),True,total_cost_per_stored_t,-3.3378462786583247,-12.513774214269372,5.838081656952721
future_effect_small,small_fixed,small_original,False,vented_t,-3980.8240560099725,-7341.14059565043,-620.5075163695146
future_effect_large,large_fixed,large_original,False,vented_t,949.5865843404615,-895.8434425690659,2795.016611249989
future_effect_edge,edge_fixed,edge_original,False,vented_t,1637.2474859458227,-4720.551299963245,7995.04627185489
capacity_effect_original,large_original,small_original,False,vented_t,-4730.984665995069,-8064.085347330783,-1397.8839846593546
capacity_effect_fixed,large_fixed,small_fixed,False,vented_t,199.42597435536481,-3665.533372641504,4064.3853213522334
graph_effect_original,edge_original,large_original,False,vented_t,11096.164702380302,4861.959771991852,17330.36963276875
graph_effect_fixed,edge_fixed,large_fixed,False,vented_t,11783.825603985662,4643.576548443652,18924.074659527672
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),False,vented_t,687.6609016053613,-6456.530537223098,7831.852340433821
future_effect_small,small_fixed,small_original,False,stored_t,5017.338584864914,107.17635518313,9927.500814546698
future_effect_large,large_fixed,large_original,False,stored_t,-1162.2712219094828,-4179.953882950026,1855.4114391310604
